UniprotKB,Gene,FBgn,FBtr,FBpp
Q9W5Y0,Nep3-PA,FBgn0031081,FBtr0070000,FBpp0070000
Q9W5Y0,Nep3-PB,FBgn0031081,FBtr0307554,FBpp0300206
Q9W5Y0,Nep3-PC,FBgn0031081,FBtr0307555,FBpp0300207
Q9W5X6,CG9570-PA,FBgn0031085,FBtr0070002,FBpp0070001
Q8IRZ5,Or19b-PA,FBgn0062565,FBtr0070003,FBpp0070002
Q9W5X2,CG15322-PB,FBgn0031088,FBtr0301569,FBpp0290784
Q9W5X2,CG15322-PC,FBgn0031088,FBtr0343166,FBpp0309860
Q9I816,Or19a-PB,FBgn0041626,FBtr0070029,FBpp0070028
E2QDA1,karr-PA,FBgn0040784,FBtr0301572,FBpp0290787
Q9W5X5,fd19B-PA,FBgn0031086,FBtr0070032,FBpp0070031
Q9W5X9,CG17003-PA,FBgn0031082,FBtr0070035,FBpp0070034
Q9W5Y1,CG12655-PA,FBgn0031080,FBtr0070036,FBpp0070035
Q8MS38,CG33217-PA,FBgn0053217,FBtr0070045,FBpp0070044
Q8SX81,Vps11-PA,FBgn0052350,FBtr0070046,FBpp0070045
O61231,RpL10-PC,FBgn0024733,FBtr0299869,FBpp0289147
O61231,RpL10-PD,FBgn0024733,FBtr0299870,FBpp0289148
O61231,RpL10-PE,FBgn0024733,FBtr0333910,FBpp0306039
Q95RU8,G9a-PA,FBgn0040372,FBtr0070063,FBpp0070062
M9PGH7,G9a-PB,FBgn0040372,FBtr0332992,FBpp0305207
P39205,cin-PB,FBgn0000316,FBtr0070064,FBpp0070063
P39205,cin-PA,FBgn0000316,FBtr0070065,FBpp0070064
O76874,CG3777-PB,FBgn0024989,FBtr0070066,FBpp0070065
O76874,CG3777-PA,FBgn0024989,FBtr0070067,FBpp0070066
O76874,CG3777-PC,FBgn0024989,FBtr0070068,FBpp0070067
O76874,CG3777-PD,FBgn0024989,FBtr0342962,FBpp0309733
O76874,CG3777-PE,FBgn0024989,FBtr0344149,FBpp0310562
Q9V3G9,CG12470-PA,FBgn0040371,FBtr0070069,FBpp0070068
Q9W5G6,Or1a-PA,FBgn0029521,FBtr0070070,FBpp0070069
P09957,y-PA,FBgn0004034,FBtr0070071,FBpp0070070
P10083,ac-PA,FBgn0000022,FBtr0070072,FBpp0070071
P10084,sc-PA,FBgn0004170,FBtr0070073,FBpp0070072
P09774,l(1)sc-PA,FBgn0002561,FBtr0070074,FBpp0070073
P09775,ase-PA,FBgn0000137,FBtr0070075,FBpp0070074
Q9W5G0,CG13373-PA,FBgn0029522,FBtr0070076,FBpp0070075
A8JUS8,CG13373-PB,FBgn0029522,FBtr0112947,FBpp0111860
Q8IRY8,CG32817-PA,FBgn0052817,FBtr0070077,FBpp0070076
Q8IRY8,CG32817-PC,FBgn0052817,FBtr0336919,FBpp0307856
Q8IRY8,CG32817-PB,FBgn0052817,FBtr0300328,FBpp0289557
Q9I7Z9,CG3176-PA,FBgn0029524,FBtr0070078,FBpp0070077
M9PDE1,CG3176-PB,FBgn0029524,FBtr0336920,FBpp0307857
M9PDE1,CG3176-PC,FBgn0029524,FBtr0336921,FBpp0307858
Q9I7Z9,CG3176-PD,FBgn0029524,FBtr0343501,FBpp0310106
Q8SWW9,CG3156-PA,FBgn0023536,FBtr0070079,FBpp0070078
Q8MYW2,CG17778-PA,FBgn0023534,FBtr0070080,FBpp0070079
Q8MYW2,CG17778-PB,FBgn0023534,FBtr0340145,FBpp0309131
O76895,arg-PA,FBgn0023535,FBtr0070088,FBpp0070083
Q7KW39,CG17896-PB,FBgn0023537,FBtr0070092,FBpp0070087
FBpp0070088,CG17896-PA,FBgn0023537,FBtr0070093,FBpp0070088
Q9I7Z8,CG18273-PA,FBgn0029525,FBtr0070094,FBpp0070089
Q9V3S0,Cyp4g1-PA,FBgn0010019,FBtr0070099,FBpp0070094
Q9W5G3,Pgcl-PA,FBgn0011822,FBtr0070100,FBpp0070095
Q8IRY9,CG32816-PB,FBgn0052816,FBtr0070101,FBpp0070096
Q8IRY9,CG32816-PA,FBgn0052816,FBtr0070102,FBpp0070097
B7Z110,CG32816-PC,FBgn0052816,FBtr0273442,FBpp0271950
B7Z110,CG32816-PD,FBgn0052816,FBtr0273443,FBpp0271951
Q8IRY9,CG32816-PE,FBgn0052816,FBtr0344150,FBpp0310563
Q8IRY9,CG32816-PF,FBgn0052816,FBtr0344151,FBpp0310564
Q9W5G7,CG13375-PA,FBgn0040370,FBtr0070103,FBpp0070098
Q9W5G7,CG13375-PB,FBgn0040370,FBtr0300326,FBpp0289555
X2JC14,CG13375-PC,FBgn0040370,FBtr0342963,FBpp0309734
Q8IRZ0,CG3038-PB,FBgn0040373,FBtr0070107,FBpp0070102
Q95RP8,CG3038-PA,FBgn0040373,FBtr0070108,FBpp0070103
X2JD78,CG3038-PC,FBgn0040373,FBtr0340207,FBpp0309182
P14599,Appl-PA,FBgn0000108,FBtr0070109,FBpp0070104
M9NE22,Appl-PB,FBgn0000108,FBtr0307291,FBpp0298292
M9NEM2,Appl-PC,FBgn0000108,FBtr0307292,FBpp0298293
M9NGF6,Appl-PD,FBgn0000108,FBtr0307293,FBpp0298294
M9NDH5,Appl-PE,FBgn0000108,FBtr0307294,FBpp0298295
M9NFQ0,Appl-PF,FBgn0000108,FBtr0307295,FBpp0298296
O77425,CG13369-PA,FBgn0025640,FBtr0070115,FBpp0070110
O77260,Hinfp-PA,FBgn0025635,FBtr0070116,FBpp0070111
Q9W5E6,Hinfp-PC,FBgn0025635,FBtr0070117,FBpp0070112
O77260,Hinfp-PB,FBgn0025635,FBtr0070118,FBpp0070113
Q9W5E4,Mybbp1A-PA,FBgn0001341,FBtr0070119,FBpp0070114
P22293,su(sable)-PA,FBgn0003575,FBtr0070120,FBpp0070115
X2JDA8,su(sable)-PB,FBgn0003575,FBtr0340081,FBpp0309080
P22293,su(sable)-PC,FBgn0003575,FBtr0340082,FBpp0309081
Q9W5E2,CG13367-PA,FBgn0025634,FBtr0070121,FBpp0070116
B7Z114,Roc1a-PC,FBgn0025638,FBtr0308651,FBpp0300874
Q9W5E1,Roc1a-PA,FBgn0025638,FBtr0070122,FBpp0070117
Q9W5E1,Roc1a-PD,FBgn0025638,FBtr0343564,FBpp0310165
Q9V3T2,CG5254-PA,FBgn0040383,FBtr0070134,FBpp0070129
X2JA11,CG5254-PB,FBgn0040383,FBtr0343759,FBpp0310321
Q9W5D6,CG5273-PA,FBgn0040382,FBtr0070135,FBpp0070130
Q9W5D6,CG5273-PC,FBgn0040382,FBtr0070136,FBpp0070131
Q9W5D6,CG5273-PB,FBgn0040382,FBtr0070137,FBpp0070132
X2JC46,fz3-PA,FBgn0027343,FBtr0070138,FBpp0070133
A8JUT5,fz3-PB,FBgn0027343,FBtr0112928,FBpp0111841
X2JC46,fz3-PC,FBgn0027343,FBtr0345511,FBpp0311620
NP_569860,CG16989-PC,FBgn0025621,FBtr0479789,FBpp0428122
NP_001284761,CG16989-PD,FBgn0025621,FBtr0479790,FBpp0428123
Q9W5C9,CG14635-PA,FBgn0029535,FBtr0070142,FBpp0070137
Q7KW26,CG13358-PD,FBgn0026874,FBtr0290198,FBpp0288637
Q9W5D2,CG13359-PA,FBgn0025616,FBtr0070145,FBpp0070140
Q24472,Rbf-PA,FBgn0015799,FBtr0070146,FBpp0070141
O77436,CG13360-PA,FBgn0025620,FBtr0070147,FBpp0070142
P50887,RpL22-PA,FBgn0015288,FBtr0070148,FBpp0070143
Q9W5D7,CG13361-PA,FBgn0029532,FBtr0070149,FBpp0070144
