protein,annotation
FBgn0000024,TP
FBgn0000036,TP
FBgn0000038,TP
FBgn0000039,TP
FBgn0000044,TP
FBgn0000071,TP
FBgn0000078,TP
FBgn0000079,TP
FBgn0000092,TP
FBgn0000094,TP
FBgn0000108,TP
FBgn0000116,TP
FBgn0000117,TP
FBgn0000119,TP
FBgn0000150,TP
FBgn0000206,TP
FBgn0000221,TP
FBgn0000273,TP
FBgn0000276,TP
FBgn0000277,TP
FBgn0000278,TP
FBgn0000279,TP
FBgn0000299,TP
FBgn0000319,TP
FBgn0000352,TP
FBgn0000355,TP
FBgn0000356,TP
FBgn0000357,TP
FBgn0000358,TP
FBgn0000359,TP
FBgn0000360,TP
FBgn0000384,TP
FBgn0000394,TP
FBgn0000395,TP
FBgn0000416,TP
FBgn0000427,TP
FBgn0000451,TP
FBgn0000463,TP
FBgn0000464,TP
FBgn0000490,TP
FBgn0000497,TP
FBgn0000499,TP
FBgn0000500,TP
FBgn0000533,TP
FBgn0000535,TP
FBgn0000547,TP
FBgn0000551,TP
FBgn0000552,TP
FBgn0000564,TP
FBgn0000579,TP
FBgn0000592,TP
FBgn0000594,TP
FBgn0000633,TP
FBgn0000635,TP
FBgn0000636,TP
FBgn0000639,TP
FBgn0000658,TP
FBgn0000709,TP
FBgn0000715,TP
FBgn0000719,TP
FBgn0000721,TP
FBgn0000723,TP
FBgn0000808,TP
FBgn0001075,TP
FBgn0001083,TP
FBgn0001085,TP
FBgn0001104,TP
FBgn0001105,TP
FBgn0001114,TP
FBgn0001122,TP
FBgn0001123,TP
FBgn0001134,TP
FBgn0001137,TP
FBgn0001189,TP
FBgn0001233,TP
FBgn0001247,TP
FBgn0001250,TP
FBgn0001253,TP
FBgn0001255,TP
FBgn0001256,TP
FBgn0001257,TP
FBgn0001259,TP
FBgn0001285,TP
FBgn0001321,TP
FBgn0001404,TP
FBgn0001624,TP
FBgn0001941,TP
FBgn0001967,TP
FBgn0001987,TP
FBgn0002121,TP
FBgn0002306,TP
FBgn0002440,TP
FBgn0002524,TP
FBgn0002526,TP
FBgn0002531,TP
FBgn0002533,TP
FBgn0002534,TP
FBgn0002535,TP
FBgn0002543,TP
FBgn0002562,TP
FBgn0002563,TP
FBgn0002564,TP
FBgn0002565,TP
FBgn0002569,TP
FBgn0002570,TP
FBgn0002571,TP
FBgn0002577,TP
FBgn0002578,TP
FBgn0002855,TP
FBgn0002856,TP
FBgn0002921,TP
FBgn0002926,TP
FBgn0002930,TP
FBgn0002932,TP
FBgn0002939,TP
FBgn0003011,TP
FBgn0003034,TP
FBgn0003046,TP
FBgn0003060,TP
FBgn0003079,TP
FBgn0003090,TP
FBgn0003091,TP
FBgn0003093,TP
FBgn0003137,TP
FBgn0003169,TP
FBgn0003174,TP
FBgn0003205,TP
FBgn0003209,TP
FBgn0003218,TP
FBgn0003255,TP
FBgn0003285,TP
FBgn0003310,TP
FBgn0003317,TP
FBgn0003319,TP
FBgn0003326,TP
FBgn0003328,TP
FBgn0003356,TP
FBgn0003357,TP
FBgn0003358,TP
FBgn0003366,TP
FBgn0003375,TP
FBgn0003386,TP
FBgn0003390,TP
FBgn0003391,TP
FBgn0003392,TP
