Protein_id	Protein_description	Gene_name	hrp_1	hrp_2	h2o2_1	h2o2_2	t4_1	t4_2	t5_1	t5_2
CON__P22629	Streptavidin		10.5463	10.2094	10.6716	10.3674	9.5906	9.6405	10.0479	10.069
P13607-5	Sodium/potassium-transporting ATPase subunit alpha, Isoform 5	;Atpalpha;Atpalpha-RD;JYalpha	9.5233	9.5484	9.6051	9.6165	9.7607	9.7554	9.5691	9.6918
CON__P15636	Protease 1		9.914	9.4993	10.0084	9.8279	9.0716	9.1096	9.5686	9.6
CON__P00761	Trypsin		10.0097	9.3541	9.6797	9.5442	9.0822	9.0632	9.7928	9.9553
P06603;P06605	Tubulin alpha-1 chain;Tubulin alpha-3 chain	;alphaTub67C;alphaTub84B;alphaTub84D;alphaTub85E	9.5967	9.6707	9.3524	9.6555	9.1642	9.2849	9.1406	9.5026
A0A4D6K0P9;Q9U1H9	Small bristles, isoform B;Nuclear RNA export factor 1	sbr	9.6637	9.6953	8.5744	9.728	9.3607	9.4756	9.3849	9.4487
A0A0B4JCZ4;A0A126GV04;Q24547	Syntaxin 1A, isoform B;Syntaxin 1A, isoform C;Syntaxin-1A	syx1A;Syx1A	9.5883	9.2998	8.9631	9.1282	9.1259	9.1457	9.2041	9.5881
Q26365-2;X2JB48	ADP,ATP carrier protein, Isoform A;Stress-sensitive B, isoform E	Ant2;sesB;sesB-RD	8.7391	9.4502	9.4126	9.3964	9.2395	9.2946	9.1484	9.0048
P10674	Fasciclin-1	Fas1	9.0076	8.7838	8.8958	8.9571	9.3145	9.2934	9.3042	9.2487
P35381	ATP synthase subunit alpha, mitochondrial	blw	8.8984	9.0393	9.1458	9.1031	9.1609	9.2015	9.0248	9.056
Q24113;Q7JPC7	FI21126p1;No-on transient A-like protein (Fragment)	nonA-l	9.2616	8.8551	9.1003	8.97	8.8667	8.8871	9.11	9.1579
E1JHQ1;P20477	Glutamine synthetase;Glutamine synthetase 1, mitochondrial	Gs1	9.0452	8.8785	8.9337	8.9071	9.1145	9.1161	9.0674	9.1256
A0A0B4LH50;B6IDW7;P10981;P83967	Actin 87E, isoform C;RH70883p;Actin-87E;Actin, indirect flight muscle	Act79B;Act87E;Act88F;Act88F-RA;Arp53D;Arp53D-RA	9.0552	9.0627	8.801	8.9733	9.031	9.0675	9.0667	9.1211
Q0E9E2	Pyruvate carboxylase	PCB	8.6591	9.6175	9.5558	9.5307	8.6842	8.7046	8.6543	8.3197
M9PD75;Q94920	Porin, isoform D;Voltage-dependent anion-selective channel	porin	9.1754	8.8659	9.0889	8.9951	8.8265	8.7466	8.9121	8.8791
A0A0B4KGN4;Q86BP3;Q9VI58	Tailor, isoform C;Tailor, isoform A;Terminal uridylyltransferase Tailor	Tailor	8.9075	8.9193	9.0219	8.9785	8.8302	8.8788	8.9437	8.8776
Q6NND1;Q9V4E7	Transporter;Transporter	CG1732;Gat	8.6678	9.1765	9.1433	9.1517	8.8465	8.9488	8.6839	8.5094
E1JHT6	Reticulon-like protein	CG33113;Rtnl1;Rtnl1-RD	8.7141	8.9651	9.099	9.0677	8.7288	8.8547	8.7733	8.7368
A1Z9U2;Q8SX39	Jet fuel, isoform A;RE22711p	jef	8.6768	8.9457	8.9884	8.8837	8.9116	8.9204	8.7669	8.6996
E1JJA4	Dynamin GTPase	CG18102;shi;shi-RB	8.6354	8.9643	8.9971	8.9414	8.8353	8.9172	8.7367	8.6909
Q0E8E8;Q9XZE4	MIP08013p1;Phosphate transporter	Mpcp2	8.4818	8.9921	8.9685	8.9405	8.9371	8.9661	8.6738	8.5142
M9MRX4	Ankyrin 2, isoform U	Ank2;Ank2-RH;Ank2-RN	8.7234	8.7292	8.7676	8.7687	8.9132	8.9303	8.8112	8.7629
A0A0B4KHJ6;Q9VA51	Uncharacterized protein, isoform B;GH11073p	anon-WO0140519.167;Dmel\CG2267	9.094	8.7998	9.345	9.036	8.3273	8.3638	8.6849	8.709
Q9VFF0	GH01077p	UQCR-C1	8.9113	8.8978	8.9489	8.8492	8.4733	8.5769	8.5102	8.7956
M9PEL1;Q07327	Ras opposite, isoform B;Protein ROP	Rop	8.6017	8.6318	8.7681	8.733	8.7968	8.8614	8.7072	8.7157
M9PH99;P20228	Glutamic acid decarboxylase 1, isoform D;Glutamate decarboxylase	b;Gad1	8.5947	8.6681	8.7847	8.7106	8.7812	8.8644	8.6797	8.7194
Q86M57;Q8IML5;Q9XZ10	V-type proton ATPase subunit a;V-type proton ATPase subunit a;V-type proton ATPase subunit a	Vha100-1;Vha100-3	8.621	8.8705	8.7388	8.8014	8.8042	8.8184	8.5219	8.5977
CON__P04264	Keratin, type II cytoskeletal 1	KRT1	9.3583	8.7375	9.0518	8.7824	7.7402	8.2842	8.8488	8.8984
