Protein_id	Protein_description	Gene_name	hrp_1	hrp_2	h2o2_1	h2o2_2	t4_1	t4_2	t5_1	t5_2
CON__P22629	Streptavidin		10.3107	10.0510	10.4781	10.1788	9.3964	9.4326	9.8617	9.9025
CON__P00761	Trypsin		9.8372	9.3176	9.5400	9.4113	8.9341	8.9505	9.7215	9.8458
CON__P15636	Protease 1		9.7601	9.1455	9.4329	9.2325	8.6853	8.7132	9.6523	9.7271
P06603;P06605	Tubulin alpha-1 chain;Tubulin alpha-3 chain	;alphaTub84B;alphaTub84D;alphaTub85E	9.4402	9.4522	9.4833	9.4257	8.5145	8.6563	9.1404	9.0221
P13607-7	Sodium/potassium-transporting ATPase subunit alpha, Isoform 7	;Atpalpha;Atpalpha-RD;JYalpha	8.9238	9.0496	9.1074	9.0384	9.1712	9.1945	9.0490	8.9237
Q26365-2;X2JB48	ADP,ATP carrier protein, Isoform A;Stress-sensitive B, isoform E	Ant2;sesB;sesB-RD	8.4113	9.2091	9.1690	9.1660	8.9652	9.0384	8.7894	8.7449
P35381	ATP synthase subunit alpha, mitochondrial	blw	8.6759	8.8804	8.9542	8.9071	8.9852	9.0303	8.8533	8.7816
Q0E9E2;Q7KN97	Pyruvate carboxylase;Pyruvate carboxylase	PCB	8.6337	9.4889	9.4479	9.4230	8.5398	8.5661	8.4466	8.2628
E1JHQ1;P20477	Glutamine synthetase;Glutamine synthetase 1, mitochondrial	Gs1	8.8650	8.6119	8.6460	8.6361	8.8342	8.8668	8.7191	8.8171
Q8INA9	Fasciclin 1, isoform C	Fas1	8.6607	8.5475	8.5596	8.5363	9.0053	9.0458	8.8193	8.8070
M9NFH8	Uncharacterized protein, isoform F	CG9674;CG9674-RB;Dmel\CG9674;GS	8.4912	8.7819	8.8669	8.8087	8.7184	8.7866	8.6404	8.5861
C8VV69;E1JGP0;P53501	LD47405p;LD04994p1;Actin-57B	Act57B;Act57B-RA;Act57B-RC;Arp53D;Arp53D-RA	8.6808	8.7299	8.5959	8.6919	8.6140	8.6657	8.7349	8.8411
Q6NND1;Q9V4E7	Transporter;Transporter	CG1732;Gat	8.1398	8.8888	8.9627	8.9235	8.8333	8.6406	8.4943	8.3963
E1JJA4	Dynamin GTPase	CG18102;shi;shi-RB	8.2598	8.7331	8.6521	8.7139	8.6981	8.7563	8.5071	8.4051
Q0E8E8;Q9XZE4	MIP08013p1;Phosphate transporter	Mpcp2	8.1606	8.8069	8.7714	8.7423	8.7552	8.7624	8.4942	8.1675
A0A0B4JCZ4;A0A126GV04;Q24547	Syntaxin 1A, isoform B;Syntaxin 1A, isoform C;Syntaxin-1A	syx1A;Syx1A	8.8234	8.4758	8.3717	8.3750	8.2493	8.3145	8.7024	8.8038
CON__P04264	Keratin, type II cytoskeletal 1	KRT1	9.1185	8.5030	8.7787	8.6074	7.6557	8.0460	8.6716	8.6414
E1JHT6	Reticulon-like protein	CG33113;Rtnl1;Rtnl1-RD	8.4103	8.4538	8.6058	8.5946	8.5367	8.5957	8.3963	8.4059
M9PH99;P20228	Glutamic acid decarboxylase 1, isoform D;Glutamate decarboxylase	b;Gad1	8.3420	8.4443	8.5469	8.5078	8.5425	8.6209	8.4861	8.4840
M9PJN8;P07487	Glyceraldehyde-3-phosphate dehydrogenase;Glyceraldehyde-3-phosphate dehydrogenase 2	anon-WO0140519.132;Gapdh2	8.1026	8.5573	8.6597	8.5983	8.6632	8.6864	8.3786	8.2813
P54385;P54385-2	Glutamate dehydrogenase, mitochondrial;Glutamate dehydrogenase, mitochondrial, Isoform C	Gdh	8.3000	8.3917	8.5843	8.5430	8.5344	8.5700	8.4251	8.4071
A1Z9U2;Q8SX39	Jet fuel, isoform A;RE22711p	jef	8.1445	8.5970	8.5924	8.5804	8.5960	8.6287	8.4562	8.0982
Q9U4G1	Protein borderless	bdl	8.5929	8.2519	8.1514	8.1030	8.4920	8.5943	8.6139	8.6209
Q94523	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SdhA	8.0677	8.5092	8.5282	8.5104	8.5064	8.3998	8.4282	8.3716
M9PH10;P46461	Vesicle-fusing ATPase;Vesicle-fusing ATPase 1	CG1618;comt	8.0122	8.4956	8.4280	8.5959	8.5860	8.6438	8.3223	8.2325
M9PD75;Q94920	Porin, isoform D;Voltage-dependent anion-selective channel	porin	8.3369	8.3142	8.4389	8.4524	8.5379	8.2570	8.2948	8.5688
Q9VFF0	GH01077p	UQCR-C1	8.5559	8.5125	8.4589	8.4994	8.2497	8.1886	8.1762	8.4531
