Protein_id	Protein_description	hrp_1	h2o2_1	hrp_2	h2o2_2	t4_1	t4_2	t5_1	t5_2
Q0E9E2	PCB	9.8203	10.1026	9.7933	10.021	9.2705	9.3481	9.4264	9.4599
Q7KN97	PCB	9.8415	10.1026	9.7834	10.0147	9.2505	9.0596	9.4228	9.4562
Q9W4A6	OtopLa	9.2435	8.9281	9.0509	9.0717	9.3617	8.9124	9.3784	9.4399
Q26365;X2JB48	sesB	9.3379	9.1889	8.9969	9.3222	9.3763	8.6808	9.3721	9.4068
Q9V4E7	Gat	9.261	9.071	9.098	9.1397	9.3313	8.6391	9.3226	9.3442
Q8INA9	Fas1	8.8991	8.5432	8.6582	8.6843	9.0694	8.7048	9.0613	9.1018
Q7K188	Dmel\CG6329	8.6834	8.473	8.4802	8.5215	8.8285	8.8844	8.8442	8.865
Q2QBM1;Q9VG31;Q9VG32	Men	8.9828	8.8784	8.8866	8.8601	8.8011	8.6839	8.8856	8.8199
Q1RL12	nrv2	8.7515	8.6411	8.6102	8.5992	8.713	8.753	8.7562	8.711
Q0E8E8	Mpcp2	8.7636	8.742	8.8031	8.6137	8.8811	8.4061	8.8959	8.9236
E1JJA4	shi	8.8149	8.7303	8.6899	8.7584	8.8596	8.3796	8.88	8.8627
A0A0B4KFZ4;O76137	TM4SF	8.6699	8.6226	8.5376	8.5877	8.6958	8.4525	8.7121	8.6952
C0HL66	His3.3A	8.7473	8.7944	8.6473	8.7676	8.6423	8.4674	8.7159	8.6974
E1JHT6	Rtnl1	8.602	8.5459	8.4539	8.4131	8.7124	8.39	8.7018	8.6542
Q7KTJ7	Bsg	8.2933	7.8666	7.9702	8.1473	8.58	8.5175	8.5734	8.6296
Q9U4G1	bdl	8.4269	7.9583	8.2768	8.0832	8.5866	8.4111	8.5306	8.6331
Q9W2M4	Dmel\CG10527	8.2736	7.884	8.1948	8.0876	8.4676	8.4615	8.3637	8.3678
A0A0B4KHJ6;Q9VA51	anon-WO0140519.167;Dmel\CG2267	9.1995	9.4213	9.2193	9.0578	8.2763	8.6341	8.3787	8.3619
Q7JS69	nrv3	8.4069	8.3335	8.3187	8.3749	8.5126	8.3451	8.4389	8.4327
P35381	blw	8.4488	8.6455	8.5604	8.4722	8.3831	8.4621	8.438	8.4186
P18935	mt:Cyt-b	8.5584	8.3954	8.4319	8.4248	8.5667	8.2751	8.5712	8.63
P02255;Q4AB54;Q4ABD8	His1:CG33807;His1:CG33834;His1:CG33861;His1:CG33864	8.5753	8.5801	8.4442	8.5869	8.1596	8.6562	8.1859	8.2473
Q4ABE3	His1:CG33801	8.513	8.5762	8.4097	8.5228	8.119	8.6349	8.1489	8.2127
P07486	anon-WO0140519.132;Gapdh1	7.9383	8.0962	8.5593	8.1264	8.3332	8.3967	8.54	8.5687
P0CG69;P15357;P18101;Q9W418;R9PY16	RpL40;RpS27A;Ubi-p5E;Ubi-p5E5;Ubi-p63E	8.3277	8.2483	8.1981	8.3329	8.4342	8.2822	8.47	8.384
Q7K4Y8	Dmel\CG1909	8.3827	8.2028	8.3858	8.278	8.2901	8.3387	8.3011	8.294
P02283	His2B:CG33910	8.3679	8.5337	8.2885	8.5001	8.0481	8.5425	8.1795	8.0893
Q8IQG1-2	Mob2	8.5739	8.5649	8.4263	8.4783	8.3527	8.2125	8.3523	8.2908
P20478;X2JDA5	Gs2	8.3305	8.3718	8.2496	8.3712	8.2713	8.2917	8.2982	8.2653
E6EK18	PMCA	8.3228	8.3201	8.189	8.2788	8.193	8.3549	8.277	8.245
P56079	Cds	8.2474	8.24	8.2853	8.29	8.4069	8.14	8.4143	8.4561
Q94920	porin	8.3353	8.6671	8.4063	8.6602	8.154	8.3923	8.2034	8.335
A4V3Q6	eEF1alpha2	8.363	8.3151	8.2175	8.3619	8.4794	8.0586	8.5061	8.4369
Q8IML5	Vha100-1;Vha100-3	7.8285	8.9182	8.8111	7.3891	8.3378	8.1873	9.0464	8.9186
Q7K1H0	CG6491	8.4853	8.4939	8.3411	8.527	8.3832	8.1152	8.4019	8.2791
E1JJF9;M9NEZ5;P20241	Nrg	8.1097	7.3904	7.9526	7.768	8.4122	8.0544	8.3854	8.4661
Q9VPX6	capt	8.3259	8.3635	8.2115	8.2874	8.3979	8.0448	8.4318	8.3947
Q24113	nonA-l	8.3969	8.576	7.522	8.7462	7.9697	8.445	7.9402	7.9939
P08736	eEF1alpha1	8.3858	8.3368	8.296	8.3627	8.4779	7.9268	8.4335	8.4162
Q9VJ94;X2JA84	CG31786;CG7198	7.8037	7.688	8.0199	7.4999	8.3327	8.0386	8.3616	8.4506
Q9V4C7	PMCA	8.3133	8.1524	8.1386	8.2058	8.2749	8.0883	8.277	8.224
Q9W0C1;Q9W0C1-2;Q9W0C1-5	nSyb	7.8974	7.4137	6.9435	7.2096	8.3001	8.0507	8.2786	8.3555
Q0KI25	CG13825;Dmel\CG4467	8.084	7.4367	7.8016	7.5652	8.3425	7.9778	8.2636	8.3886
Q24560	betaTub56D;betaTub85D	8.288	8.2766	8.0091	8.2487	8.1974	8.1208	8.2401	8.1743
E1JJE6;M9PGH2;M9PGQ4;M9PJ56	OtopLa	7.82	7.8631	8.0184	7.63	8.2775	8.0177	8.0563	8.2323
Q9VIE8	mAcon1;mAcon2	8.3284	8.25	8.2427	8.2535	8.1894	8.1055	8.1382	8.0677
A0A6H2EG25;M9NET2;Q9W4Y3	trol	8.3315	7.8569	8.1842	7.9848	8.3618	7.9253	8.4406	8.6337
P16378;P16378-2	Galphao	8.1801	8.2411	8.1465	8.164	8.1923	8.08	8.2484	8.1636
Q9NBD7	chb	8.1798	8.1154	8.1172	8.0547	8.1587	8.0973	8.0648	7.9355
Q9W392	CCT2	7.9641	8.078	8.18	7.8809	8.1838	8.0685	8.1303	7.9615
Q9VWE0	dome	8.2283	7.931	8.0104	8.0224	8.2465	7.9989	8.2336	8.3257
Q9V9W2;Q9V9W3	RpL6	8.2369	8.1352	8.1023	8.2084	8.2355	7.9965	8.3006	8.2027
Q9W5R8	RpL5	8.132	8.0604	8.0132	8.1443	8.2311	7.9712	8.2647	8.2036
Q9W141;Q9W141-2	ATPsynF	8.1236	8.1033	8.0915	8.0902	8.1091	8.0864	8.1436	8.1464
Q9VH14	Timp	8.8279	9.0007	8.8662	8.7222	7.7908	8.3917	7.9293	7.9275
P07487	anon-WO0140519.132;Gapdh2	8.3747	8.4623	8.3079	8.4394	8.2948	7.8729	8.4318	8.385
Q9VXR3;X2JC16;X2JDY2;X2JF73;X2JF83;X2JFK0;X2JKH9	HUWE1	8.2497	8.2117	8.1494	8.2043	8.2338	7.9294	8.2484	8.1393
P29310-2	14-3-3zeta	8.2767	8.3071	8.2422	8.3005	8.1696	7.9828	8.1436	8.2215
A0A0B4KGI5;E1JIJ8	Ace	8.153	7.4339	7.9474	7.9282	8.4236	7.7271	8.46	8.4868
A0A0B4KH03	Tsp96F	8.0834	7.6916	7.876	8.043	7.983	8.1662	8.0145	8.0839
M9MRX4	Ank2	8.2003	8.2215	8.0556	8.1666	8.2396	7.9014	8.2057	8.1355
P29327	RpS6	8.12	8.0895	8.0458	8.1543	8.1089	8.0246	8.1428	8.107
P91620-1	sif	8.102	8.1243	8.0313	8.1526	8.1135	7.9985	8.2043	8.189
P00408	mt:CoII	8.2804	8.2819	8.1697	8.2996	8.1757	7.9261	8.2505	8.2556
Q9VNX4	P5CDh1	8.1717	8.2519	8.1456	8.1933	8.003	8.0963	8.0602	8.0434
Q8IQB7	BcDNA:RH42907	7.5693	6.3062	7.5923	7.0755	7.93	8.1661	7.7542	7.863
A8DZ06;X2J9Z3	stol	7.8838	7.5742	7.6382	7.6153	8.0685	8.0075	8.2454	8.2561
Q9W401;Q9W401-2	kdn	8.2039	8.2387	8.1584	8.2091	8.0645	8.005	8.0458	8.0048
A8Y560	RpL15	8.2203	8.0814	8.0888	8.1887	8.3675	7.6958	8.4147	8.3452
P00334	Adh	7.9853	8.0963	7.761	7.9689	8.1028	7.9549	8.0855	8.0233
O62530	AP-2mu	8.1748	8.0097	8.1393	8.1881	8.351	7.692	8.3444	8.3494
Q8INH6	CG11688;CG8775;Dmel\CG8773;Dmel\CG8774	8.0583	7.8952	7.9757	8.0852	8.0057	8.0288	8.0218	8.0806
A0A0B4KGL0;Q3KN41	Nrx-1	8.0763	7.5688	7.7751	7.818	8.2008	7.8269	8.2189	8.2192
P10987	Act42A;Act5C	7.5237	8.0241	8.1006	8.089	7.8867	8.1397	7.9188	7.8508
Q0E9B6	RpS11	8.0688	8.1153	8.0787	8.1931	8.1735	7.8371	8.2242	8.1821
O62619	PyK	8.1297	8.1608	8.0547	8.0361	8.1356	7.8658	8.2179	8.244
A4V134;D1YSG7;D1YSG8;Q00168-2	CaMKII	8.0908	8.093	8.0244	8.064	7.9984	7.9984	7.9723	7.895
Q9VLT7	RpL36A	8.1089	8.1007	7.9442	8.0863	7.8872	8.0488	7.9642	7.8819
M9MRG0	Nckx30C	7.7705	7.8471	7.8041	7.5508	8.1041	7.8242	8.0704	8.0518
A0A0B4LFR4;Q7K110	OstDelta	8.0615	7.9879	7.9137	8.0261	8.0941	7.817	8.1343	8.0726
Q8IMY7;Q9VCL9	Irk2	7.9407	7.9776	8.0903	8.0667	8.1553	7.7551	8.1593	8.2002
