	uniprot	flybase
0	Q0E9E2	FBgn0027580
1	Q7KN97	FBgn0027580
2	Q9W4A6	FBgn0259994
3	Q26365	FBgn0003360
4	X2JB48	FBgn0003360
5	Q9V4E7	FBgn0039915
6	Q8INA9	FBgn0285925
7	Q7K188	FBgn0033872
8	Q2QBM1	FBgn0002719
9	Q9VG31	FBgn0002719
10	Q9VG32	FBgn0002719
11	Q1RL12	FBgn0015777
12	Q0E8E8	FBgn0026409
13	E1JJA4	FBgn0003392
14	A0A0B4KFZ4	FBgn0020372
15	O76137	FBgn0020372
16	C0HL66	FBgn0014857
17	E1JHT6	FBgn0053113
18	Q7KTJ7	FBgn0261822
19	Q9U4G1	FBgn0028482
20	Q9W2M4	FBgn0034583
21	A0A0B4KHJ6	FBgn0039792
22	Q9VA51	FBgn0039792
23	Q7JS69	FBgn0032946
24	P35381	FBgn0011211
25	P18935	FBgn0013678
26	P02255	FBgn0001195
27	P02255	FBgn0051617
28	P02255	FBgn0053804
29	P02255	FBgn0053810
30	P02255	FBgn0053813
31	P02255	FBgn0053816
32	P02255	FBgn0053819
33	P02255	FBgn0053822
34	P02255	FBgn0053825
35	P02255	FBgn0053828
36	P02255	FBgn0053831
37	P02255	FBgn0053837
38	P02255	FBgn0053840
39	P02255	FBgn0053843
40	P02255	FBgn0053846
41	P02255	FBgn0053849
42	P02255	FBgn0053852
43	P02255	FBgn0053864
44	Q4AB54	FBgn0053855
45	Q4AB54	FBgn0053858
46	Q4AB54	FBgn0053861
47	Q4ABD8	FBgn0053807
48	Q4ABE3	FBgn0053801
49	P07486	FBgn0001091
50	P0CG69	FBgn0003943
51	P15357	FBgn0003942
52	P18101	FBgn0003941
53	Q9W418	FBgn0086558
54	R9PY16	FBgn0029856
55	Q7K4Y8	FBgn0039911
56	P02283	FBgn0001198
57	P02283	FBgn0061209
58	P02283	FBgn0053868
59	P02283	FBgn0053870
60	P02283	FBgn0053872
61	P02283	FBgn0053874
62	P02283	FBgn0053876
63	P02283	FBgn0053878
64	P02283	FBgn0053880
65	P02283	FBgn0053882
66	P02283	FBgn0053884
67	P02283	FBgn0053886
68	P02283	FBgn0053888
69	P02283	FBgn0053890
70	P02283	FBgn0053892
71	P02283	FBgn0053894
72	P02283	FBgn0053896
73	P02283	FBgn0053898
74	P02283	FBgn0053900
75	P02283	FBgn0053902
76	P02283	FBgn0053904
77	P02283	FBgn0053906
78	P02283	FBgn0053908
79	P02283	FBgn0053910
80	Q8IQG1	FBgn0259481
81	P20478	FBgn0001145
82	X2JDA5	FBgn0001145
83	E6EK18	FBgn0259214
84	P56079	FBgn0010350
85	Q94920	FBgn0004363
86	A4V3Q6	FBgn0000557
87	Q8IML5	FBgn0028671
88	Q7K1H0	FBgn0052066
89	E1JJF9	FBgn0264975
90	M9NEZ5	FBgn0264975
91	P20241	FBgn0264975
92	Q9VPX6	FBgn0261458
93	Q24113	FBgn0015520
94	P08736	FBgn0284245
95	Q9VJ94	FBgn0261804
96	X2JA84	FBgn0261804
97	Q9V4C7	FBgn0259214
98	Q9W0C1	FBgn0013342
99	Q9W0C1	FBgn0013342
100	Q9W0C1	FBgn0013342
101	Q0KI25	FBgn0039064
102	Q24560	FBgn0284243
103	E1JJE6	FBgn0259994
104	M9PGH2	FBgn0259994
105	M9PGQ4	FBgn0259994
106	M9PJ56	FBgn0259994
107	Q9VIE8	FBgn0010100
108	A0A6H2EG25	FBgn0284408
109	M9NET2	FBgn0284408
110	Q9W4Y3	FBgn0284408
111	P16378	FBgn0001122
112	P16378	FBgn0001122
113	Q9NBD7	FBgn0021760
114	Q9W392	FBgn0030086
115	Q9VWE0	FBgn0043903
116	Q9V9W2	FBgn0039857
117	Q9V9W3	FBgn0039857
118	Q9W5R8	FBgn0064225
119	Q9W141	FBgn0035032
120	Q9W141	FBgn0035032
121	Q9VH14	FBgn0025879
122	P07487	FBgn0001092
123	Q9VXR3	FBgn0030674
124	X2JC16	FBgn0030674
125	X2JDY2	FBgn0030674
126	X2JF73	FBgn0030674
127	X2JF83	FBgn0030674
128	X2JFK0	FBgn0030674
129	X2JKH9	FBgn0030674
130	P29310	FBgn0004907
131	P29310	FBgn0004907
132	A0A0B4KGI5	FBgn0000024
133	E1JIJ8	FBgn0000024
134	A0A0B4KH03	FBgn0027865
135	M9MRX4	FBgn0261788
136	P29327	FBgn0261592
137	P91620	FBgn0085447
138	P00408	FBgn0013675
139	Q9VNX4	FBgn0037138
140	Q8IQB7	FBgn0043806
141	A8DZ06	FBgn0028863
142	X2J9Z3	FBgn0028863
143	Q9W401	FBgn0261955
144	Q9W401	FBgn0261955
145	A8Y560	FBgn0028697
146	P00334	FBgn0000055
147	O62530	FBgn0263351
148	Q8INH6	FBgn0052473
149	A0A0B4KGL0	FBgn0038975
150	Q3KN41	FBgn0038975
151	P10987	FBgn0000042
152	Q0E9B6	FBgn0033699
153	O62619	FBgn0267385
154	A4V134	FBgn0264607
155	D1YSG7	FBgn0264607
156	D1YSG8	FBgn0264607
157	Q00168	FBgn0264607
158	Q9VLT7	FBgn0031980
159	M9MRG0	FBgn0028704
160	A0A0B4LFR4	FBgn0034277
161	Q7K110	FBgn0034277
162	Q8IMY7	FBgn0039081
163	Q9VCL9	FBgn0039081
164	O18333	FBgn0014009
165	H0RNC4	FBgn0039830
166	Q6NN09	FBgn0039830
167	P12370	FBgn0000273
168	O77062	FBgn0026439
169	Q9VHE5	FBgn0037686
170	Q9VQC0	FBgn0031424
171	M9PBL3	FBgn0001233
172	A1Z784	FBgn0033246
173	P06603	FBgn0003884
174	P06605	FBgn0003885
175	M9NE68	FBgn0001224
176	P54385	FBgn0001098
177	P54385	FBgn0001098
178	Q24212	FBgn0016975
179	P10379	FBgn0004055
180	P45594	FBgn0011726
181	Q8IQI3	FBgn0036305
182	Q8T0E7	FBgn0036305
183	P29742	FBgn0000319
184	Q7YTZ0	FBgn0036116
185	Q9VMV5	FBgn0016075
186	X2JAU8	FBgn0263456
187	X2JAU8	FBgn0263456
188	P07764	FBgn0000064
189	L0MQ04	FBgn0010217
190	Q05825	FBgn0010217
191	Q7K1D7	FBgn0033196
192	A0A0B4LI13	FBgn0003093
193	P13678	FBgn0003093
194	M9PF16	FBgn0250788
195	E1JHP3	FBgn0051619
196	Q0E8N3	FBgn0051619
197	Q9V9Q7	FBgn0051619
198	Q9V9Q9	FBgn0051619
199	X2JAM1	FBgn0051619
200	X2JEX4	FBgn0051619
201	Q9VKM3	FBgn0010612
202	P31409	FBgn0005671
203	M9NCQ1	FBgn0051663
204	Q9VQ52	FBgn0051663
205	Q01819	FBgn0005775
206	Q6AWM0	FBgn0005775
207	A0A0B4KFA6	FBgn0037533
208	A0A0B4KGE4	FBgn0037533
209	Q9VHX9	FBgn0037533
210	P25228	FBgn0005586
211	Q9VM14	FBgn0283658
212	Q9W2L6	FBgn0034588
213	C7LA75	FBgn0266599
214	B7Z0Y2	FBgn0259110
215	M9NDY9	FBgn0259110
216	M9NH46	FBgn0259110
217	M9PER2	FBgn0259110
218	M9PH86	FBgn0259110
219	Q9VXL1	FBgn0259110
220	X2JE21	FBgn0259110
221	Q9TVM2	FBgn0020497
222	Q8SXX1	FBgn0039924
223	Q9VEB1	FBgn0262559
224	Q7KS16	FBgn0266758
225	Q9VC62	FBgn0266758
226	A8DZ29	FBgn0023213
227	O61380	FBgn0023213
228	Q9W0D3	FBgn0035237
229	Q9VGS3	FBgn0037873
230	P25455	FBgn0004611
231	P25455	FBgn0004611
232	P25455	FBgn0004611
233	P25455	FBgn0004611
234	P25455	FBgn0004611
235	Q9VAC1	FBgn0039737
236	O18640	FBgn0020618
237	P40793	FBgn0010341
238	Q9V3G1	FBgn0261602
239	P02518	FBgn0001226
240	Q9VL16	FBgn0032200
241	Q9VAL5	FBgn0004369
242	Q9V460	FBgn0040273
243	P09180	FBgn0003279
244	O16797	FBgn0020910
245	Q9W2J0	FBgn0050391
246	Q07327	FBgn0004574
247	M9PCI8	FBgn0010473
248	E1JIQ1	FBgn0024963
249	Q94900	FBgn0024963
250	Q94900	FBgn0024963
251	O18332	FBgn0285937
252	M9NCR7	FBgn0031717
253	M9ND31	FBgn0031717
254	Q9VMP9	FBgn0031717
255	M9PDV2	FBgn0029837
256	Q9W441	FBgn0029837
257	Q9VR25	FBgn0031627
258	Q9V9M7	FBgn0032987
259	Q9W0C3	FBgn0035246
260	M9PD08	FBgn0020443
261	Q9VK85	FBgn0020443
262	A0A0B4LGD3	FBgn0261794
263	M9PB64	FBgn0260486
264	M9PB65	FBgn0260486
265	M9PCA8	FBgn0260486
266	M9PCG3	FBgn0260486
267	M9PCG7	FBgn0260486
268	M9PCU9	FBgn0260486
269	M9PF26	FBgn0260486
270	M9PF31	FBgn0260486
271	Q9VM04	FBgn0260486
272	Q9VX90	FBgn0266354
273	Q59E30	FBgn0014163
274	Q95RI5	FBgn0014163
275	Q9VGF7	FBgn0260743
276	Q9VIU8	FBgn0032798
277	Q9VW71	FBgn0261574
278	X2JCN4	FBgn0261574
279	P35875	FBgn0010247
280	P35875	FBgn0010247
281	Q9VPA1	FBgn0052432
282	A0A0B4K631	FBgn0086372
283	A0A0B4K6V2	FBgn0086372
284	Q9VLB7	FBgn0004868
285	Q9VA91	FBgn0039757
286	A0A0B4JDD0	FBgn0261015
287	E1JIF4	FBgn0261015
288	Q8WTI8	FBgn0261015
289	P48602	FBgn0265262
290	O17444	FBgn0270928
291	A4V4F2	FBgn0264078
292	M9PJN2	FBgn0264078
293	Q8IR41	FBgn0263994
294	Q9VXX6	FBgn0263994
295	M9PBI5	FBgn0250789
296	M9PDQ0	FBgn0250789
297	M9PGV6	FBgn0250789
298	P13395	FBgn0250789
299	A8DYL2	FBgn0085399
300	Q9VMS1	FBgn0015031
301	Q9VV75	FBgn0250814
302	Q9VC06	FBgn0039252
303	P40792	FBgn0010333
304	X2J979	FBgn0004242
305	Q9VM10	FBgn0025697
306	Q7KN85	FBgn0020236
307	A0A0B4K7A5	FBgn0263391
