Protein,T4_signal,T5_signal
FBgn0015521,1.4013428571428572,0.0
FBgn0259170,1.121975,1.0175500000000004
FBgn0260657,0.9366142857142855,0.45594999999999974
FBgn0043806,0.9122250000000001,0.6727750000000003
FBgn0013342,0.903071428571429,0.9509999999999998
FBgn0266354,0.8463124999999998,0.7968999999999997
FBgn0010415,0.7785428571428571,0.8206999999999998
FBgn0267728,0.7781749999999996,0.5953749999999998
FBgn0033405,0.771425,0.7480249999999999
FBgn0261514,0.7701714285714284,0.6613249999999999
FBgn0037228,0.7037000000000004,0.0
FBgn0052791,0.7036857142857141,0.7789250000000001
FBgn0051676,0.6888999999999998,0.5536000000000003
FBgn0259175,0.6682875,0.7733999999999999
FBgn0046685,0.6455999999999996,0.45562500000000017
FBgn0020908,0.632725,0.0
FBgn0033710,0.6259250000000001,0.5227750000000002
FBgn0040726,0.6243428571428569,0.700175
FBgn0030539,0.602042857142857,0.0
FBgn0261674,0.5848999999999998,0.5346500000000001
FBgn0015519,0.58104,0.5822249999999998
FBgn0083975,0.5775833333333334,0.6772499999999999
FBgn0000037,0.5760749999999999,0.506075
FBgn0040324,0.5740500000000002,0.6547000000000001
FBgn0034725,0.5715000000000001,0.5119749999999998
FBgn0015609,0.5694250000000001,0.5338999999999998
FBgn0264975,0.5630833333333335,0.6205750000000008
FBgn0000636,0.5506749999999998,0.6181249999999998
FBgn0028542,0.5496750000000004,0.0
FBgn0031681,0.5481749999999996,0.0
FBgn0010238,0.5468250000000001,0.7076749999999996
FBgn0039089,0.5426999999999997,0.4315499999999999
FBgn0031725,0.5391999999999999,0.3738499999999998
FBgn0032018,0.5342249999999997,0.0
FBgn0031770,0.533271428571429,0.6650250000000002
FBgn0033483,0.532975,0.5804750000000003
FBgn0262869,0.5240142857142855,0.6410500000000001
FBgn0285925,0.5231428571428569,0.519825
FBgn0003285,0.5206500000000005,0.54085
FBgn0028671,0.5202625,0.9533125
FBgn0039064,0.5160571428571428,0.6042250000000005
FBgn0051195,0.5108499999999998,0.0
FBgn0041180,0.5081200000000002,0.0
FBgn0051221,0.5054999999999996,0.5445000000000002
FBgn0000024,0.50502,0.6077750000000004
FBgn0005775,0.5036714285714282,0.6697499999999994
FBgn0027057,0.502475,0.5379750000000003
FBgn0027843,0.4954750000000001,0.0
FBgn0036299,0.4951500000000002,0.0
FBgn0261804,0.4919285714285722,0.6532249999999995
FBgn0031808,0.49018571428571434,0.4880499999999999
FBgn0051361,0.48752499999999976,0.4087749999999999
FBgn0004108,0.4847857142857145,0.5255000000000003
FBgn0037230,0.481325,0.0
FBgn0039647,0.4811571428571426,0.5633499999999994
FBgn0034438,0.4809249999999998,0.0
FBgn0003391,0.48012500000000014,0.4553250000000002
FBgn0263994,0.47961428571428616,0.5224250000000001
FBgn0261822,0.47940000000000005,0.5321499999999997
FBgn0033268,0.4785250000000001,0.0
FBgn0260995,0.4766250000000001,0.41802499999999987
FBgn0010473,0.47209999999999996,0.6412499999999997
FBgn0037546,0.4717333333333335,0.51465
FBgn0263236,0.4699500000000001,0.0
FBgn0037295,0.46747499999999986,0.33857500000000007
FBgn0029506,0.464375,0.32947499999999996
FBgn0026189,0.46411428571428576,0.5407250000000001
FBgn0051663,0.46258,0.4463999999999997
FBgn0016797,0.4606199999999999,0.59375
FBgn0036316,0.4547200000000002,0.39165000000000016
FBgn0052029,0.45289999999999986,0.0
FBgn0032797,0.4513428571428572,0.5764750000000001
FBgn0086604,0.45116666666666694,0.4675
FBgn0030259,0.448014285714286,0.58165
FBgn0004657,0.44454999999999956,0.472
FBgn0041604,0.44419999999999993,0.5343999999999998
FBgn0083950,0.44127499999999986,0.5169750000000002
FBgn0000635,0.44035,0.0
FBgn0038498,0.43967500000000004,0.45717499999999966
FBgn0024836,0.4359333333333333,0.38262499999999955
FBgn0051646,0.4311200000000003,0.5023750000000002
FBgn0016917,0.43015714285714257,0.35819999999999996
FBgn0039257,0.42947499999999983,0.44932499999999975
FBgn0052432,0.42769999999999975,0.5275250000000002
FBgn0024189,0.4272000000000002,0.46360000000000023
FBgn0034718,0.427125,0.28827499999999984
FBgn0031602,0.4255249999999997,0.18407500000000016
FBgn0035179,0.4254,0.32720000000000016
FBgn0031981,0.4251333333333334,0.4156000000000002
FBgn0085382,0.4248571428571425,0.5537999999999998
FBgn0259242,0.42429999999999995,0.4038499999999996
FBgn0031683,0.42289999999999983,0.0
FBgn0053481,0.4207000000000001,0.4223499999999998
FBgn0051708,0.4206333333333337,0.396825
FBgn0264273,0.4162428571428572,0.4466500000000002
FBgn0040230,0.41477500000000056,0.2535250000000002
FBgn0015399,0.4138999999999998,0.5318249999999998
FBgn0033958,0.41273333333333334,0.40807499999999974
FBgn0266756,0.4092499999999999,0.31496250000000003
FBgn0004839,0.40847999999999995,0.28412499999999996
FBgn0036202,0.40807499999999997,0.41667500000000035
FBgn0053512,0.40344999999999964,0.39474999999999993
FBgn0259984,0.40287499999999987,0.38442500000000024
FBgn0032322,0.40242500000000003,0.2637750000000003
FBgn0085414,0.40138571428571446,0.53075
FBgn0039640,0.39869999999999983,0.26024999999999965
FBgn0261262,0.3976800000000001,0.45750000000000024
FBgn0028482,0.39698333333333363,0.3955500000000003
FBgn0033159,0.39568749999999997,0.4603625
FBgn0028863,0.3939,0.5728749999999998
FBgn0039332,0.39338333333333325,0.4250499999999997
FBgn0028490,0.39180000000000037,0.5848
FBgn0027594,0.39144000000000023,0.35194999999999976
FBgn0260003,0.39002499999999996,0.0
FBgn0010114,0.38759999999999994,0.41769999999999996
FBgn0030706,0.3865166666666666,0.29220000000000024
FBgn0031908,0.38562499999999944,0.0
FBgn0032601,0.38255714285714276,0.352225
FBgn0002565,0.3824799999999996,0.0
FBgn0085399,0.3818999999999999,0.5116499999999997
FBgn0259821,0.3818166666666663,0.44927499999999987
FBgn0004055,0.3777857142857143,0.46187499999999937
FBgn0020391,0.37767142857142827,0.45710000000000006
FBgn0263391,0.3745333333333331,0.4088375000000001
FBgn0263930,0.3742285714285713,0.4508749999999997
FBgn0038975,0.37413999999999936,0.4396875
FBgn0020279,0.37192499999999984,0.0
FBgn0243486,0.37039999999999984,0.21315000000000037
FBgn0259994,0.36991428571428553,0.4194749999999996
FBgn0267428,0.3684249999999998,0.45077500000000015
FBgn0031676,0.3680249999999998,0.0
FBgn0044328,0.3676750000000002,0.0
FBgn0037533,0.3668499999999999,0.3943000000000001
FBgn0037676,0.36472000000000016,0.4589749999999999
FBgn0039584,0.3603428571428572,0.4639
FBgn0039420,0.358525,0.45362499999999994
FBgn0037135,0.35726000000000024,0.2507500000000002
FBgn0034136,0.35709999999999964,0.3056000000000003
FBgn0034583,0.3545499999999988,0.25574999999999987
FBgn0022960,0.35370000000000007,0.0
FBgn0000253,0.3532249999999999,0.07767499999999992
FBgn0033814,0.3526999999999998,0.0
FBgn0053202,0.3507428571428571,0.3754250000000001
FBgn0286785,0.34985,0.34585
FBgn0052600,0.34963999999999995,0.4079999999999997
FBgn0025878,0.34546666666666664,0.4631999999999996
FBgn0033540,0.3446200000000001,0.3342000000000003
FBgn0028704,0.34346000000000065,0.3179749999999997
FBgn0052206,0.34336666666666665,0.4266749999999997
FBgn0261999,0.3431714285714286,0.2526499999999996
