FBgn,Head F,Eye M,Eye F,Brain M,Brain F,Ganglion M,Ganglion F,Crop M,Crop F,Midgut M,Midgut F,Hindgut M,Hindgut F,Tubule M,Tubule F,RectalPad M,RectalPad F,Fat Body M,Fat Body F,Heart M,Heart F,Salivary M,Salivary F,Ovary,V Sp.,M Sp.,Testis,Accessory Gland,Whole L,CNS L
FBgn0000071,0.26,0.04,0.12,0.42,0.56,1.42,0.98,0.08,0.55,0.05,0.02,0.07,0.05,0.04,0.04,0.01,0.42,0.0,0.0,0.03,0.14,0.02,0.02,0.0,0.0,0.43,0.23,0.0,36.4,41.77
FBgn0000463,1.56,0.72,0.68,0.34,0.32,0.3,0.48,0.78,1.08,1.59,1.11,3.98,3.12,0.11,0.34,3.34,3.4,0.05,0.65,0.25,1.74,0.4,2.31,10.63,2.99,3.17,0.93,0.02,2.67,8.09
FBgn0000464,18.99,14.69,9.38,30.38,26.08,18.88,20.93,3.04,2.3,3.55,1.44,2.17,2.15,3.06,2.62,1.86,1.85,2.41,2.41,2.65,4.09,3.41,2.64,5.29,2.91,3.44,2.73,1.66,1.59,11.41
FBgn0000547,9.09,13.02,8.98,8.41,7.4,4.69,5.52,22.86,17.34,2.49,0.97,7.41,6.65,4.89,5.26,4.3,5.45,3.09,2.88,5.95,7.82,8.85,8.2,12.88,5.14,5.96,3.88,12.33,4.95,15.97
FBgn0000633,5.98,5.54,3.54,12.86,11.08,9.8,10.8,3.05,2.78,0.34,0.14,0.02,0.02,0.07,0.09,0.03,0.09,0.12,0.19,1.05,1.12,0.47,0.22,0.03,0.41,0.44,0.93,0.09,0.29,9.06
FBgn0000635,17.67,24.48,17.3,18.22,18.79,33.19,38.99,11.16,8.8,10.21,6.18,7.91,9.09,131.33,124.39,9.01,8.82,3.98,3.33,8.37,5.4,7.42,6.03,3.06,9.59,11.72,6.74,7.1,8.69,27.7
FBgn0000636,11.19,17.26,14.09,6.59,6.25,4.24,5.02,18.23,16.92,9.32,6.53,17.76,20.59,7.4,8.46,22.7,24.48,1.06,2.06,2.23,3.05,8.43,7.87,4.77,11.93,13.76,16.6,12.9,15.43,20.04
FBgn0001075,0.55,0.98,0.61,0.07,0.05,0.23,0.2,0.28,0.31,0.21,0.08,0.07,0.09,0.63,0.56,0.06,0.2,0.07,0.07,0.24,0.18,0.36,0.24,0.01,0.15,0.39,0.96,0.36,1.09,6.01
FBgn0001189,4.79,5.08,7.46,1.82,2.06,3.24,3.57,8.5,8.34,14.63,10.37,3.52,4.47,8.63,9.7,3.83,4.02,6.24,6.15,14.17,15.04,9.21,7.2,3.81,5.49,7.37,4.06,15.82,6.83,3.69
FBgn0001257,17.14,6.42,4.17,4.34,3.64,16.2,15.59,2.65,2.4,1.46,3.02,2.47,4.44,6.93,6.76,6.89,11.86,81.56,64.83,129.7,133.75,4.13,2.13,10.51,18.45,15.5,4.51,0.52,12.91,8.05
