#,CMT,GeneID,Name,#SEQ,ave_SP,SP,SP200,SP_PHO,TM_PHO,ave_GPI,XC,Others,XC_HH,Others_HH,GO_CC
1,CMT_E,FBgn0000071,Ama,14,0.976,0.929,1.000,1.000,0.000,0.071,"Ig[I-set:1, Ig_2:0.0714]",N/A,N/A,N/A,GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:ISS;
2,CMT_S,FBgn0000547,ed,15,0.778,0.667,0.867,0.800,1.133,0.000,"Ig[C2-set_2:0.733, Ig_3:1, V-set:1, I-set:0.2, Ig_2:1, ig:0.8]; fn3[fn3:1]",N/A,N/A,N/A,GO:0005886:plasma membrane:IDA; GO:0016021:integral component of membrane:ISM; GO:0005913:cell-cell adherens junction:IDA; GO:0005912:adherens junction:IDA; GO:0005912:adherens junction:IDA; GO:0005886:plasma membrane:IDA; GO:0005938:cell cortex:IDA;
3,CMT_G,FBgn0000633,fas,16,0.875,0.875,0.875,0.875,0.375,0.969,"Ig[I-set:0.875, C2-set_2:1, Ig_2:1]",N/A,"Ig[I-set, ig, Ig_3, Ig_5, C2-set_2, C1-set, Marek_A, V-set_CD47]",N/A,N/A
4,CMT_SG,FBgn0000635,Fas2,48,0.958,0.958,0.958,0.958,1.000,0.542,"Ig[I-set:1, Ig_2:0.979]; fn3[fn3:1]",N/A,N/A,Bravo_FIGEY,GO:0005886:plasma membrane:IDA; GO:0030424:axon:TAS; GO:0005886:plasma membrane:NAS; GO:0042734:presynaptic membrane:TAS; GO:0045211:postsynaptic membrane:TAS; GO:0016021:integral component of membrane:TAS; GO:0005737:cytoplasm:IDA; GO:0043005:neuron projection:IDA; GO:0042734:presynaptic membrane:IMP; GO:0031594:neuromuscular junction:IDA; GO:0042995:cell projection:IDA; GO:0036062:presynaptic periactive zone:IDA; GO:0097482:muscle cell postsynaptic density:IDA; GO:0048786:presynaptic active zone:IDA; GO:0031594:neuromuscular junction:IDA; GO:0005886:plasma membrane:IDA; GO:0005737:cytoplasm:IDA; GO:0005886:plasma membrane:IDA; GO:0005829:cytosol:IDA;
5,CMT_S,FBgn0000636,Fas3,38,1.000,1.000,1.000,1.000,1.000,0.000,"Ig[C2-set_2:1, I-set:1]",N/A,"Ig[I-set, ig, V-set, Ig_3, Izumo-Ig, V-set_CD47, Receptor_2B4, ICAM_N, Ig_2, Ig_5]",N/A,GO:0031594:neuromuscular junction:IDA; GO:0005886:plasma membrane:TAS; GO:0016021:integral component of membrane:NAS; GO:0016323:basolateral plasma membrane:NAS; GO:0005918:septate junction:TAS; GO:0016328:lateral plasma membrane:TAS; GO:0005918:septate junction:TAS; GO:0005886:plasma membrane:IDA; GO:0005920:smooth septate junction:IDA; GO:0005886:plasma membrane:IDA; GO:0031965:nuclear membrane:IDA; GO:0005737:cytoplasm:IDA; GO:0005886:plasma membrane:IDA; GO:0005829:cytosol:IDA; GO:0055037:recycling endosome:IDA;
6,CMT_E,FBgn0003137,Ppn,48,0.979,0.979,0.979,0.979,0.000,0.000,"Ig[I-set:1, ig:0.146]; Kunitz_BPTI:1; TSP_1:1; ADAM_spacer1:1; PLAC:1",N/A,WAP,N/A,GO:0005604:basement membrane:IDA; GO:0005578:proteinaceous extracellular matrix:NAS; GO:0005604:basement membrane:IDA; GO:0005578:proteinaceous extracellular matrix:NAS;
7,CMT_S,FBgn0003285,rst,13,0.821,0.769,0.923,0.769,1.077,0.000,"Ig[I-set:1, C2-set_2:0.923, Ig_2:1]",N/A,N/A,N/A,GO:0005886:plasma membrane:ISS; GO:0005886:plasma membrane:NAS; GO:0016021:integral component of membrane:TAS; GO:0016021:integral component of membrane:NAS; GO:0005886:plasma membrane:IDA; GO:0045177:apical part of cell:IDA; GO:0005886:plasma membrane:IDA; GO:0005913:cell-cell adherens junction:IDA;
8,CMT_S,FBgn0004839,otk,13,0.846,0.846,0.846,0.846,1.000,0.038,"Ig[I-set:1, Ig_3:0.0769, Ig_2:1]","PKinase[Pkinase_Tyr:1]; P-loop_NTPase[AAA_30:0.0769, AAA_12:0.0769, AAA_11:0.0769]",N/A,N/A,GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:ISS; GO:0016021:integral component of membrane:ISM; GO:0005886:plasma membrane:IDA;
9,CMT_S,FBgn0005592,btl,10,1.000,1.000,1.000,1.000,1.000,0.000,"Ig[I-set:1, Ig_2:0.3, ig:0.7]",PKinase[Pkinase_Tyr:1],Ig[Ig_4],N/A,GO:0005886:plasma membrane:ISS; GO:0005886:plasma membrane:IC; GO:0005886:plasma membrane:ISS; GO:0005886:plasma membrane:NAS; GO:0005886:plasma membrane:IDA;
10,CMT_S,FBgn0005631,robo1,20,0.750,0.550,0.950,0.750,1.250,0.000,Ig[I-set:1]; fn3[fn3:1],N/A,N/A,N/A,GO:0005886:plasma membrane:IDA; GO:0005887:integral component of plasma membrane:ISS; GO:0044295:axonal growth cone:IDA; GO:0031982:vesicle:IDA; GO:0005886:plasma membrane:IDA; GO:0030425:dendrite:IDA; GO:0030424:axon:IDA; GO:0043025:neuronal cell body:IDA; GO:0071666:Slit-Robo signaling complex:IDA; GO:0043234:protein complex:IPI; GO:0030424:axon:IDA;
11,CMT_G,FBgn0010238,Lac,12,0.861,0.833,0.833,0.917,1.000,1.000,Ig[I-set:1],N/A,N/A,N/A,GO:0019898:extrinsic component of membrane:NAS; GO:0005918:septate junction:IDA; GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:IDA;
12,CMT_S,FBgn0010389,htl,13,0.769,0.615,0.846,0.846,1.154,0.000,"Ig[I-set:1, Ig_2:0.462]",PKinase[Pkinase_Tyr:1],N/A,N/A,GO:0005886:plasma membrane:ISS; GO:0016021:integral component of membrane:ISS; GO:0016021:integral component of membrane:NAS;
13,CMT_SE,FBgn0010473,tutl,57,0.199,0.000,0.596,0.000,1.298,0.018,"Ig[V-set:0.965, I-set:1, Ig_2:0.947]; fn3[fn3:0.947]",N/A,"Ig[Ig_2, Ig_5, C2-set_2, C1-set, Ig_4, ICAM_N]","PKinase[Pkinase_Tyr, Pkinase]",GO:0005887:integral component of plasma membrane:IC;
