#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Peptidase_M13_N      PF05649.16   381 FBgn0031081          -            786  2.7e-120  402.4   0.2   1   1    4e-124  3.9e-120  401.9   0.2     1   381   125   522   125   522 0.92 Peptidase family M13
Peptidase_M13        PF01431.24   205 FBgn0031081          -            786   1.5e-75  253.4   0.1   1   1   3.3e-79   3.3e-75  252.3   0.1     1   205   581   785   581   785 0.95 Peptidase family M13
7tm_6                PF02949.23   313 FBgn0062565          -            387   4.3e-48  164.1  18.9   1   1   3.2e-52   6.2e-48  163.5  18.9     2   313    66   372    65   372 0.90 7tm Odorant receptor
7tm_6                PF02949.23   313 FBgn0041626          -            387   1.6e-48  165.5  19.0   1   1   1.2e-52   2.4e-48  164.9  19.0     2   313    66   372    65   372 0.90 7tm Odorant receptor
7tm_6                PF02949.23   313 FBgn0029521          -            392   1.9e-27   96.2  12.4   1   1   9.8e-32   1.9e-27   96.2  12.4     7   312    71   375    65   376 0.88 7tm Odorant receptor
MRJP                 PF03022.19   288 FBgn0004034          -            541  1.4e-103  346.3   0.0   1   1  8.8e-108  1.7e-103  346.0   0.0     1   288   119   405   119   405 0.98 Major royal jelly protein
Asp                  PF00026.26   314 FBgn0011822          -            407   1.3e-99  333.7  11.6   1   1  1.5e-103   1.5e-99  333.5  11.6     1   314    76   379    76   379 0.96 Eukaryotic aspartyl protease
TAXi_N               PF14543.9    176 FBgn0011822          -            407     1e-09   38.9   5.3   1   2   4.1e-12   4.1e-08   33.7   0.2     1    51    77   128    77   132 0.94 Xylanase inhibitor N-terminal
TAXi_N               PF14543.9    176 FBgn0011822          -            407     1e-09   38.9   5.3   2   2   0.00068       6.7    7.0   1.1    79   144   133   193   128   235 0.68 Xylanase inhibitor N-terminal
Ras                  PF00071.25   162 FBgn0040370          -            306   2.9e-40  137.6   2.6   1   1   1.3e-43   3.7e-40  137.3   2.6     1   160    49   213    49   215 0.95 Ras family
Roc                  PF08477.16   119 FBgn0040370          -            306     1e-18   67.8   0.1   1   1   5.7e-22   1.6e-18   67.2   0.1     1   119    49   163    49   163 0.88 Ras of Complex, Roc, domain of DAPkinase
Arf                  PF00025.24   174 FBgn0040370          -            306   1.9e-10   40.6   0.1   1   1   9.1e-14   2.6e-10   40.2   0.1    12   172    45   211    36   213 0.81 ADP-ribosylation factor family
GTP_EFTU             PF00009.30   188 FBgn0040370          -            306   3.6e-10   39.9   1.4   1   1   4.3e-12   1.2e-08   34.9   1.4    60   184    86   211    45   215 0.77 Elongation factor Tu GTP binding domain
MnmE_helical         PF12631.10   326 FBgn0040370          -            306   1.3e-06   28.7   1.3   1   1   1.1e-09     3e-06   27.5   1.4    96   267    49   228    44   237 0.74 MnmE helical domain
MMR_HSR1             PF01926.26   113 FBgn0040370          -            306   6.6e-06   26.3   0.4   1   1   4.5e-09   1.3e-05   25.4   0.2     1   113    49   161    49   161 0.77 50S ribosome-binding GTPase
Gtr1_RagA            PF04670.15   232 FBgn0040370          -            306   3.7e-05   23.4   0.1   1   1   1.7e-08   4.9e-05   23.0   0.1     1   182    49   225    49   236 0.74 Gtr1/RagA G protein conserved region
APP_E2               PF12925.10   190 FBgn0000108          -            887   5.2e-80  267.7   9.8   1   1   1.1e-83   5.2e-80  267.7   9.8     2   190   388   580   387   580 0.99 E2 domain of amyloid precursor protein
APP_N                PF02177.19   100 FBgn0000108          -            887   3.2e-32  111.0   0.6   1   1   1.8e-35   8.7e-32  109.6   0.1     1   100    33   141    33   141 0.93 Amyloid A4 N-terminal heparin-binding
APP_Cu_bd            PF12924.10    57 FBgn0000108          -            887   2.2e-25   89.2   2.9   1   1   1.7e-28   8.3e-25   87.3   2.9     1    57   142   198   142   198 0.99 Copper-binding of amyloid precursor, CuBD
APP_amyloid          PF10515.12    52 FBgn0000108          -            887   8.2e-23   80.8   0.8   1   1   7.6e-26   3.7e-22   78.7   0.2     1    52   827   884   827   884 0.95 Beta-amyloid precursor protein C-terminus
DUF4813              PF16072.8    291 FBgn0040382          -            469   7.6e-40  137.4  84.9   1   2   1.7e-29   3.3e-25   89.3  63.6     8   202   154   345   131   350 0.81 Domain of unknown function (DUF4813)
DUF4813              PF16072.8    291 FBgn0040382          -            469   7.6e-40  137.4  84.9   2   2   3.5e-21   6.8e-17   62.0  13.3   234   290   336   393   336   394 0.91 Domain of unknown function (DUF4813)
Frizzled             PF01534.20   321 FBgn0027343          -            581   1.2e-73  248.2   5.3   1   1   1.8e-77   1.8e-73  247.7   5.3     1   317   226   520   226   523 0.94 Frizzled/Smoothened family membrane region
Fz                   PF01392.25   110 FBgn0027343          -            581     9e-26   90.8   1.3   1   1   2.8e-29   2.7e-25   89.2   1.3     1   109    40   147    40   148 0.95 Fz domain
Trypsin              PF00089.29   220 FBgn0040341          -            254   2.6e-28   99.5   0.0   1   1   1.6e-32   3.2e-28   99.2   0.0     6   218    28   235    24   237 0.87 Trypsin
DUF1397              PF07165.14   203 FBgn0040398          -            319   1.7e-68  230.2   2.3   1   1     1e-72     2e-68  229.9   2.3     2   203    55   271    54   271 0.98 Protein of unknown function (DUF1397)
