Orthogroup,tmp
OG0000000,NP_524352
OG0000001,NP_001027283
OG0000002,NP_001027292
OG0000003,NP_001027282
OG0000004,NP_727563
OG0000005,NP_651653
OG0000006,NP_001260918
OG0000007,NP_001262046
OG0000008,NP_608321
OG0000009,NP_511052
OG0000011,NP_651520
OG0000012,NP_524921
OG0000013,NP_001262747
OG0000015,NP_511095
OG0000017,NP_001097338
OG0000018,NP_650004
OG0000019,NP_001027183
OG0000020,NP_476823
OG0000021,NP_001027165
OG0000022,NP_608840
OG0000023,NP_611311
OG0000025,NP_001097523
OG0000026,NP_609250
OG0000027,NP_650475
OG0000028,NP_609784
OG0000029,NP_611041
OG0000030,NP_728449
OG0000031,NP_001097857
OG0000034,NP_651373
OG0000035,NP_611918
OG0000037,NP_524326
OG0000038,NP_524290
OG0000039,NP_648244
OG0000040,NP_650814
OG0000041,NP_573254
OG0000042,NP_476771
OG0000043,NP_651484
OG0000044,NP_663308
OG0000046,NP_476772
OG0000047,NP_523944
OG0000048,NP_649109
OG0000049,NP_001027256
OG0000050,NP_609593
OG0000051,NP_611319
OG0000053,NP_647652
OG0000054,NP_650009
OG0000055,NP_650228
OG0000056,NP_476856
OG0000057,NP_001027130
OG0000058,NP_730594
OG0000060,NP_524554
OG0000061,NP_524588
OG0000062,NP_651689
OG0000063,NP_650053
OG0000064,NP_001036710
OG0000065,NP_729161
OG0000066,NP_476718
OG0000067,NP_572746
OG0000068,NP_609764
OG0000069,NP_001262002
OG0000070,NP_001245717
OG0000071,NP_650273
OG0000072,NP_572266
OG0000073,NP_001245546
OG0000074,NP_572339
OG0000075,NP_609262
OG0000076,NP_523560
OG0000077,NP_611721
OG0000079,NP_610383
OG0000080,NP_524313
OG0000081,NP_651488
OG0000082,NP_651367
OG0000083,NP_001163530
OG0000084,NP_730054
OG0000085,NP_608629
OG0000086,NP_524828
OG0000087,NP_610317
OG0000088,NP_611327
OG0000089,NP_732222
OG0000090,NP_001097618
OG0000091,NP_722731
OG0000092,NP_001096972
OG0000093,NP_523848
OG0000094,NP_609848
OG0000095,NP_651814
OG0000096,NP_650168
OG0000097,NP_650831
OG0000098,NP_648192
OG0000099,NP_001027107
OG0000100,NP_788553
OG0000101,NP_523683
OG0000102,NP_649719
OG0000103,NP_477306
OG0000104,NP_572157
OG0000105,ds_NP_001104166
OG0000107,NP_001097028
OG0000108,NP_651661
OG0000109,NP_524531
OG0000110,NP_001015499
OG0000111,NP_648339
OG0000112,NP_788500
OG0000113,NP_477117
OG0000114,NP_001137755
OG0000115,NP_477256
OG0000116,NP_610779
OG0000117,NP_523750
OG0000118,NP_651152
OG0000119,NP_650782
OG0000120,NP_001097859
OG0000121,NP_609708
OG0000122,NP_609136
OG0000123,NP_610762
OG0000124,NP_001246720
OG0000126,NP_650371
OG0000127,NP_523482
OG0000128,NP_609561
OG0000129,NP_001036538
OG0000130,NP_001027393
OG0000131,NP_001245677
OG0000132,NP_524884
OG0000134,NP_477348
OG0000135,NP_001163333
OG0000136,NP_001137989
OG0000137,NP_608916
OG0000138,NP_511115
OG0000139,NP_610581
OG0000140,NP_610308
OG0000141,NP_001261162
OG0000142,NP_001163009
OG0000143,NP_001188661
OG0000144,NP_651678
OG0000145,NP_652620
OG0000146,NP_731809
OG0000147,NP_524422
OG0000148,NP_648203
OG0000149,NP_524814
OG0000150,NP_648868
OG0000152,NP_001245858
OG0000153,NP_524956
OG0000154,NP_523818
OG0000155,NP_572827
OG0000158,NP_611632
OG0000159,NP_649955
OG0000160,NP_647770
OG0000161,NP_001097525
OG0000162,NP_524093
OG0000163,NP_788536
OG0000164,NP_609757
OG0000165,NP_609428
OG0000166,NP_476621
OG0000167,NP_611217
OG0000171,NP_651889
OG0000172,NP_573043
OG0000173,NP_001097918
OG0000174,NP_001027168
OG0000175,NP_525054
OG0000176,NP_524877
OG0000177,NP_650722
OG0000178,NP_001027201
OG0000179,NP_647694
OG0000180,NP_649044
OG0000181,NP_651969
OG0000182,NP_788566
OG0000183,NP_608582
OG0000184,NP_001356933
OG0000185,NP_611238
OG0000186,NP_523553
OG0000187,NP_611196
OG0000188,NP_001188981
OG0000189,NP_477106
OG0000190,NP_573100
OG0000191,NP_573092
OG0000192,NP_608471
OG0000194,NP_524611
OG0000195,NP_608447
OG0000196,NP_001015157
OG0000197,NP_524539
OG0000198,NP_524536
OG0000199,NP_651383
OG0000200,NP_477371
OG0000201,NP_732652
OG0000202,NP_650042
OG0000203,NP_001036718
OG0000204,NP_573193
