#SUBMITTED ID	GO_CELLULAR_COMPONENT	GO_MOLECULAR_FUNCTION	INTERPRO_DOMAINS	SYMBOL	UNIPROT_PROTEIN_DOMAINS
FBgn0000464	cell leading edge ; GO:0031252 | located_in inferred from direct assay <newline> basal plasma membrane ; GO:0009925 | located_in inferred from direct assay <newline> axon ; GO:0030424 | located_in inferred from direct assay <newline> focal adhesion ; GO:0005925 | located_in inferred from direct assay <newline> cell surface ; GO:0009986 | located_in inferred from direct assay	transmembrane receptor protein tyrosine phosphatase activity ; GO:0005001 | enables inferred from direct assay <newline> SAM domain binding ; GO:0032093 | enables inferred from physical interaction with ckn <newline> protein tyrosine phosphatase activity ; GO:0004725 | enables inferred from direct assay <newline> insulin receptor binding ; GO:0005158 | enables inferred from physical interaction with InR <newline> protein tyrosine phosphatase activity ; GO:0004725 | enables inferred from biological aspect of ancestor with PANTHER:PTN007668287 <newline> SAM domain binding ; GO:0032093 | enables inferred from physical interaction with Liprin-γ	IPR000242:Tyrosine-specific protein phosphatase, PTPase domain <newline> IPR000387:Tyrosine-specific protein phosphatases domain <newline> IPR003598:Immunoglobulin subtype 2 <newline> IPR003961:Fibronectin type III <newline> IPR007110:Immunoglobulin-like domain <newline> IPR013783:Immunoglobulin-like fold <newline> IPR013098:Immunoglobulin I-set <newline> IPR016130:Protein-tyrosine phosphatase, active site <newline> IPR029021:Protein-tyrosine phosphatase-like <newline> IPR003595:Protein-tyrosine phosphatase, catalytic <newline> IPR003599:Immunoglobulin subtype <newline> IPR036179:Immunoglobulin-like domain superfamily <newline> IPR036116:Fibronectin type III superfamily	Lar
FBgn0000636	plasma membrane ; GO:0005886 | located_in inferred from direct assay <newline> recycling endosome ; GO:0055037 | located_in inferred from direct assay <newline> cell-cell junction ; GO:0005911 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002267887 <newline> neuromuscular junction ; GO:0031594 | located_in inferred from direct assay <newline> plasma membrane ; GO:0005886 | located_in inferred from high throughput direct assay <newline> smooth septate junction ; GO:0005920 | located_in inferred from direct assay <newline> integral component of plasma membrane ; GO:0005887 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002267887 <newline> fusome ; GO:0045169 | <newline> spectrosome ; GO:0045170 | <newline> plasma membrane ; GO:0005886 |	cell adhesion molecule binding ; GO:0050839 | enables inferred from biological aspect of ancestor with PANTHER:PTN002267887	IPR007110:Immunoglobulin-like domain <newline> IPR013162:CD80-like, immunoglobulin C2-set <newline> IPR036179:Immunoglobulin-like domain superfamily <newline> IPR013783:Immunoglobulin-like fold	Fas3
FBgn0005775	plasma membrane ; GO:0005886 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN008138815 <newline> plasma membrane ; GO:0005886 | located_in traceable author statement <newline> neuromuscular junction ; GO:0031594 | located_in inferred from direct assay <newline> axonal growth cone ; GO:0044295 | located_in inferred from direct assay <newline> cell surface ; GO:0009986 | located_in inferred from direct assay	-	IPR000483:Cysteine-rich flanking region, C-terminal <newline> IPR003591:Leucine-rich repeat, typical subtype <newline> IPR001611:Leucine-rich repeat <newline> IPR032675:Leucine-rich repeat domain superfamily	Con
FBgn0010114	synaptic cleft ; GO:0043083 | located_in inferred from direct assay <newline> neuronal cell body ; GO:0043025 | located_in inferred from direct assay	-	IPR000436:Sushi/SCR/CCP domain <newline> IPR007110:Immunoglobulin-like domain <newline> IPR013783:Immunoglobulin-like fold <newline> IPR035976:Sushi/SCR/CCP superfamily <newline> IPR036179:Immunoglobulin-like domain superfamily	hig
FBgn0010473	axon ; GO:0030424 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN001296633 <newline> plasma membrane ; GO:0005886 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN001296633 <newline> integral component of plasma membrane ; GO:0005887 | located_in inferred by curator from GO:0098632	cell-cell adhesion mediator activity ; GO:0098632 | enables inferred from biological aspect of ancestor with PANTHER:PTN001296633 <newline> cell-cell adhesion mediator activity ; GO:0098632 | enables inferred from physical interaction with bdl	IPR043204:Basigin-like <newline> IPR003598:Immunoglobulin subtype 2 <newline> IPR003599:Immunoglobulin subtype <newline> IPR003961:Fibronectin type III <newline> IPR007110:Immunoglobulin-like domain <newline> IPR013106:Immunoglobulin V-set domain <newline> IPR013783:Immunoglobulin-like fold <newline> IPR013098:Immunoglobulin I-set <newline> IPR036179:Immunoglobulin-like domain superfamily <newline> IPR036116:Fibronectin type III superfamily	tutl
FBgn0011259	extracellular space ; GO:0005615 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000744245 <newline> integral component of membrane ; GO:0016021 | located_in inferred from sequence or structural similarity	semaphorin receptor binding ; GO:0030215 | enables inferred from biological aspect of ancestor with PANTHER:PTN000112368 <newline> heparin binding ; GO:0008201 | enables inferred from direct assay <newline> protein binding ; GO:0005515 | enables inferred from physical interaction with PlexA <newline> semaphorin receptor binding ; GO:0030215 | enables traceable author statement <newline> chemorepellent activity ; GO:0045499 | enables inferred from biological aspect of ancestor with PANTHER:PTN000867340	IPR015943:WD40/YVTN repeat-like-containing domain superfamily <newline> IPR001627:Sema domain <newline> IPR002165:Plexin repeat <newline> IPR016201:PSI domain <newline> IPR027231:Semaphorin <newline> IPR036352:Sema domain superfamily <newline> IPR042068:Semaphorin-1A, sema domain	Sema1a
FBgn0014007	axon ; GO:0030424 | located_in inferred from direct assay <newline> cell surface ; GO:0009986 | located_in inferred from direct assay <newline> plasma membrane ; GO:0005886 | located_in inferred from high throughput direct assay	transmembrane receptor protein tyrosine phosphatase activity ; GO:0005001 | enables inferred from direct assay <newline> protein tyrosine phosphatase activity ; GO:0004725 | enables inferred from biological aspect of ancestor with PANTHER:PTN007668287	IPR000242:Tyrosine-specific protein phosphatase, PTPase domain <newline> IPR000387:Tyrosine-specific protein phosphatases domain <newline> IPR003598:Immunoglobulin subtype 2 <newline> IPR003599:Immunoglobulin subtype <newline> IPR003961:Fibronectin type III <newline> IPR007110:Immunoglobulin-like domain <newline> IPR013783:Immunoglobulin-like fold <newline> IPR016130:Protein-tyrosine phosphatase, active site <newline> IPR029021:Protein-tyrosine phosphatase-like <newline> IPR003595:Protein-tyrosine phosphatase, catalytic <newline> IPR036179:Immunoglobulin-like domain superfamily <newline> IPR036116:Fibronectin type III superfamily	Ptp69D
FBgn0015400	integral component of plasma membrane ; GO:0005887 | located_in inferred from sequence model	-	IPR000483:Cysteine-rich flanking region, C-terminal <newline> IPR001611:Leucine-rich repeat <newline> IPR003591:Leucine-rich repeat, typical subtype <newline> IPR003598:Immunoglobulin subtype 2 <newline> IPR007110:Immunoglobulin-like domain <newline> IPR032675:Leucine-rich repeat domain superfamily <newline> IPR013783:Immunoglobulin-like fold <newline> IPR003599:Immunoglobulin subtype <newline> IPR036179:Immunoglobulin-like domain superfamily	kek2
FBgn0015558	integral component of membrane ; GO:0016021 | located_in inferred from electronic annotation with InterPro:IPR006990 <newline> plasma membrane ; GO:0005886 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000965383 <newline> plasma membrane ; GO:0005886 | located_in inferred from sequence or structural similarity with UniProtKB:Q9C0H2 <newline> integral component of membrane ; GO:0016021 | located_in inferred from sequence model	chloride channel activity ; GO:0005254 | enables inferred from sequence or structural similarity with UniProtKB:Q9C0H2 <newline> intracellular calcium activated chloride channel activity ; GO:0005229 | enables inferred from biological aspect of ancestor with PANTHER:PTN000965383 <newline> chloride channel activity ; GO:0005254 | enables inferred from sequence or structural similarity with HGNC:22222 <newline> volume-sensitive chloride channel activity ; GO:0072320 | enables inferred from biological aspect of ancestor with PANTHER:PTN000965383	IPR006990:Tweety	tty
FBgn0016061	-	-	IPR003598:Immunoglobulin subtype 2 <newline> IPR003599:Immunoglobulin subtype <newline> IPR003961:Fibronectin type III <newline> IPR007110:Immunoglobulin-like domain <newline> IPR013162:CD80-like, immunoglobulin C2-set <newline> IPR013783:Immunoglobulin-like fold <newline> IPR013106:Immunoglobulin V-set domain <newline> IPR036179:Immunoglobulin-like domain superfamily <newline> IPR036116:Fibronectin type III superfamily	side
