7227_0:000001	FBpp0289382
7227_0:000002	FBpp0312442
7227_0:000003	FBpp0074462
7227_0:000004	FBpp0077828
7227_0:000005	FBpp0111921
7227_0:000006	FBpp0301167
7227_0:000007	FBpp0077759
7227_0:000008	FBpp0077760
7227_0:000009	FBpp0297499
7227_0:00000a	FBpp0288762
7227_0:00000b	FBpp0077762
7227_0:00000c	FBpp0077763
7227_0:00000d	FBpp0290667
7227_0:00000e	FBpp0088446
7227_0:00000f	FBpp0077776
7227_0:000010	FBpp0077818
7227_0:000011	FBpp0077814
7227_0:000012	FBpp0077813
7227_0:000013	FBpp0077774
7227_0:000014	FBpp0303495
7227_0:000015	FBpp0077775
7227_0:000016	FBpp0291141
7227_0:000017	FBpp0077806
7227_0:000018	FBpp0077778
7227_0:000019	FBpp0090982
7227_0:00001a	FBpp0297434
7227_0:00001b	FBpp0077783
7227_0:00001c	FBpp0077805
7227_0:00001d	FBpp0077784
7227_0:00001e	FBpp0289115
7227_0:00001f	FBpp0077785
7227_0:000020	FBpp0077802
7227_0:000021	FBpp0077799
7227_0:000022	FBpp0077801
7227_0:000023	FBpp0077786
7227_0:000024	FBpp0077798
7227_0:000025	FBpp0077787
7227_0:000026	FBpp0290028
7227_0:000027	FBpp0077788
7227_0:000028	FBpp0077796
7227_0:000029	FBpp0111922
7227_0:00002a	FBpp0077793
7227_0:00002b	FBpp0077789
7227_0:00002c	FBpp0077792
7227_0:00002d	FBpp0077790
7227_0:00002e	FBpp0303632
7227_0:00002f	FBpp0089225
7227_0:000030	FBpp0077758
7227_0:000031	FBpp0077757
7227_0:000032	FBpp0077712
7227_0:000033	FBpp0303539
7227_0:000034	FBpp0077755
7227_0:000035	FBpp0077753
7227_0:000036	FBpp0077713
7227_0:000037	FBpp0077752
7227_0:000038	FBpp0077714
7227_0:000039	FBpp0088490
7227_0:00003a	FBpp0077715
7227_0:00003b	FBpp0077750
7227_0:00003c	FBpp0077716
7227_0:00003d	FBpp0077749
7227_0:00003e	FBpp0077717
7227_0:00003f	FBpp0077718
7227_0:000040	FBpp0077719
7227_0:000041	FBpp0077747
7227_0:000042	FBpp0077720
7227_0:000043	FBpp0303673
7227_0:000044	FBpp0301737
7227_0:000045	FBpp0077722
7227_0:000046	FBpp0301730
7227_0:000047	FBpp0077744
7227_0:000048	FBpp0077741
7227_0:000049	FBpp0077740
7227_0:00004a	FBpp0077739
7227_0:00004b	FBpp0077724
7227_0:00004c	FBpp0292775
7227_0:00004d	FBpp0077726
7227_0:00004e	FBpp0077736
7227_0:00004f	FBpp0077727
7227_0:000050	FBpp0077735
7227_0:000051	FBpp0077728
7227_0:000052	FBpp0077734
7227_0:000053	FBpp0077729
7227_0:000054	FBpp0312235
7227_0:000055	FBpp0077730
7227_0:000056	FBpp0309909
7227_0:000057	FBpp0301726
7227_0:000058	FBpp0300624
7227_0:000059	FBpp0077663
7227_0:00005a	FBpp0077664
7227_0:00005b	FBpp0077708
7227_0:00005c	FBpp0077665
7227_0:00005d	FBpp0290531
7227_0:00005e	FBpp0077666
7227_0:000062	FBpp0077671
7227_0:000063	FBpp0077672
7227_0:000064	FBpp0077706
7227_0:000065	FBpp0077673
7227_0:000066	FBpp0077674
7227_0:000067	FBpp0077705
7227_0:000068	FBpp0077675
7227_0:000069	FBpp0077704
7227_0:00006a	FBpp0077703
7227_0:00006b	FBpp0077676
7227_0:00006c	FBpp0099899
7227_0:00006d	FBpp0077702
7227_0:00006e	FBpp0077678
7227_0:00006f	FBpp0291330
7227_0:000070	FBpp0077698
7227_0:000071	FBpp0077681
7227_0:000072	FBpp0077682
7227_0:000073	FBpp0077683
7227_0:000074	FBpp0077697
7227_0:000075	FBpp0077694
7227_0:000076	FBpp0077687
7227_0:000077	FBpp0304490
7227_0:000078	FBpp0077688
7227_0:000079	FBpp0077690
7227_0:00007a	FBpp0307912
7227_0:00007b	FBpp0077614
7227_0:00007c	FBpp0304559
7227_0:00007d	FBpp0077662
7227_0:00007e	FBpp0077616
7227_0:00007f	FBpp0077658
7227_0:000080	FBpp0077617
7227_0:000081	FBpp0304824
7227_0:000082	FBpp0304825
7227_0:000083	FBpp0304562
7227_0:000084	FBpp0077619
7227_0:000085	FBpp0077620
7227_0:000086	FBpp0077653
7227_0:000087	FBpp0077621
7227_0:000088	FBpp0077651
7227_0:000089	FBpp0304560
7227_0:00008a	FBpp0077623
7227_0:00008b	FBpp0077624
7227_0:00008c	FBpp0077650
7227_0:00008d	FBpp0077625
7227_0:00008e	FBpp0099391
7227_0:00008f	FBpp0077626
7227_0:000090	FBpp0077646
7227_0:000091	FBpp0077627
7227_0:000092	FBpp0077629
7227_0:000093	FBpp0077645
7227_0:000094	FBpp0077630
7227_0:000095	FBpp0077644
7227_0:000096	FBpp0077631
7227_0:000097	FBpp0300904
7227_0:000098	FBpp0077643
7227_0:000099	FBpp0077636
7227_0:00009a	FBpp0297899
7227_0:00009b	FBpp0077642
7227_0:00009f	FBpp0112990
7227_0:0000a0	FBpp0289074
7227_0:0000a1	FBpp0077586
7227_0:0000a2	FBpp0077587
7227_0:0000a3	FBpp0077588
7227_0:0000a4	FBpp0294003
7227_0:0000a5	FBpp0310392
7227_0:0000a6	FBpp0091161
7227_0:0000a7	FBpp0077590
7227_0:0000a8	FBpp0077613
7227_0:0000a9	FBpp0077612
7227_0:0000aa	FBpp0077611
7227_0:0000ab	FBpp0077609
7227_0:0000ac	FBpp0290232
7227_0:0000ad	FBpp0077607
7227_0:0000ae	FBpp0077592
7227_0:0000af	FBpp0077606
7227_0:0000b0	FBpp0310388
7227_0:0000b1	FBpp0310389
7227_0:0000b2	FBpp0077594
7227_0:0000b3	FBpp0077595
7227_0:0000b4	FBpp0077596
7227_0:0000b5	FBpp0077597
7227_0:0000b6	FBpp0077602
7227_0:0000b7	FBpp0306854
7227_0:0000b8	FBpp0077585
7227_0:0000b9	FBpp0113046
7227_0:0000ba	FBpp0077541
7227_0:0000bb	FBpp0077542
7227_0:0000bc	FBpp0301721
7227_0:0000bd	FBpp0077583
7227_0:0000be	FBpp0077582
7227_0:0000bf	FBpp0077544
7227_0:0000c0	FBpp0077581
7227_0:0000c1	FBpp0297890
7227_0:0000c2	FBpp0077549
7227_0:0000c3	FBpp0077578
7227_0:0000c4	FBpp0077550
7227_0:0000c5	FBpp0077577
7227_0:0000c6	FBpp0294064
7227_0:0000c7	FBpp0077571
7227_0:0000c8	FBpp0077551
7227_0:0000c9	FBpp0077552
7227_0:0000ca	FBpp0077570
7227_0:0000cb	FBpp0077553
7227_0:0000cc	FBpp0077569
7227_0:0000cd	FBpp0077555
7227_0:0000ce	FBpp0077568
7227_0:0000cf	FBpp0077567
7227_0:0000d0	FBpp0077556
7227_0:0000d1	FBpp0301799
7227_0:0000d2	FBpp0077566
7227_0:0000d3	FBpp0099546
7227_0:0000d4	FBpp0077565
7227_0:0000d5	FBpp0077564
7227_0:0000d6	FBpp0423066
7227_0:0000d7	FBpp0077562
7227_0:0000d8	FBpp0088727
7227_0:0000d9	FBpp0077561
