,Domains
FBgn0031081,Peptidase_M13_N/Peptidase_M13
FBgn0062565,7tm_6
FBgn0041626,7tm_6
FBgn0029521,7tm_6
FBgn0004034,MRJP
FBgn0011822,Asp/TAXi_N
FBgn0040370,Ras/Roc/Arf/GTP_EFTU/MnmE_helical/MMR_HSR1/Gtr1_RagA
FBgn0000108,APP_E2/APP_N/APP_Cu_bd/APP_amyloid
FBgn0040382,DUF4813
FBgn0027343,Frizzled/Fz
FBgn0040341,Trypsin
FBgn0040398,DUF1397
FBgn0040350,MFS_1/Sugar_tr
FBgn0040364,DUF1397
FBgn0025642,EF-hand_7/EF-hand_6/EF-hand_1
FBgn0024361,Tetraspanin
FBgn0024365,AA_permease/AA_permease_2
FBgn0025641,FH2/Drf_FH3/Drf_GBD
FBgn0025383,Trypsin/Trypsin_2
FBgn0001189,LRR_8/LRR_4/LRR_9
FBgn0024897,Laminin_G_3/Pentaxin
FBgn0025391,Sarcoglycan_1/DUF2345
FBgn0025378,Trypsin
FBgn0025390,CBM_14
FBgn0052808,Trypsin/Trypsin_2
FBgn0027791,O-FucT
FBgn0014411,Vps26
FBgn0025631,7tm_1/7TM_GPCR_Srsx/7TM_GPCR_Srv/7TM_GPCR_Srx/7TM_GPCR_Srw
FBgn0000667,Spectrin/CH/EFhand_Ca_insen/EF-hand_1/EF-hand_6/CAMSAP_CH/EF-hand_7/EF-hand_8
FBgn0023545,Peptidase_C13
FBgn0025624,Frag1
FBgn0023549,MFS_1/MFS_4/ATG22
FBgn0023523,7tm_6
FBgn0003079,PK_Tyr_Ser-Thr/Pkinase/RBD/C1_1/Kinase-like/zf-RING-like/ABC1/Pkinase_fungal/C1_2
FBgn0023524,MFS_1
FBgn0004397,Vinculin
FBgn0040333,PKD_channel/Polycystin_dom/Ion_trans
FBgn0040334,Tetraspanin
FBgn0040388,Ig_3/I-set/Ig_2/ig/fn3/V-set/C2-set_2/Izumo-Ig
FBgn0003996,ABC2_membrane/ABC_tran/ABC2_membrane_7/AAA_21/ABC2_membrane_3
FBgn0024980,SNARE/Syntaxin
FBgn0000092,JHBP
FBgn0004647,EGF/hEGF/EGF_CA/EGF_3/Ank_2/Ank/Notch/NOD/EGF_2/Ank_4/Ank_3/Ank_5/NODP
FBgn0000479,PDEase_I/PDE4_UCR
FBgn0002933,Mucin
FBgn0010294,Mucin
FBgn0040393,SpoIIIAH
FBgn0040355,zf-Di19/ZZ
FBgn0029642,Cytochrom_B561
FBgn0028369,Ig_3/I-set/Ig_2/C2-set_2/ig/V-set/V-set_CD47
FBgn0003285,Ig_3/I-set/Ig_2/ig/C2-set_2/V-set/V-set_CD47/Ig_5/Marek_A
FBgn0052792,ASC
FBgn0044046,Insulin
FBgn0015286,Ras/Roc/Arf/GTP_EFTU/MnmE_helical/RsgA_GTPase/MMR_HSR1
FBgn0052791,Ig_3/I-set/ig/Ig_2/V-set/Ig_C17orf99/Ig_6/Ig_4/C2-set_2
FBgn0029663,SNF
FBgn0028491,PTR2
FBgn0029681,DUF4773
FBgn0029687,Motile_Sperm
FBgn0000635,Ig_3/I-set/Ig_2/ig/V-set/fn3/C2-set_2/V-set_CD47
FBgn0029708,Cobalamin_bind/SQHop_cyclase_C/Prenyltrans
FBgn0029713,TPR_2/TPR_12
FBgn0029727,MFS_1/Sugar_tr
FBgn0029733,Neur_chan_LBD/Neur_chan_memb
FBgn0004368,fn3/Y_phosphatase/Pur_ac_phosph_N/PTP_tm/Interfer-bind
FBgn0010014,EF-hand_7/EF-hand_1/EF-hand_6/EF-hand_5/EF-hand_8/EF-hand_4/SPARC_Ca_bdg
FBgn0029761,SK_channel/CaMBD/Ion_trans_2/Ion_trans
FBgn0029765,Lys
FBgn0029768,7TM_GPCR_Srw/7tm_1
FBgn0029769,Peptidase_M13/Peptidase_M13_N
FBgn0029762,SNF
FBgn0000394,Tsg
FBgn0029791,Pep_M12B_propep/Reprolysin/ADAMTS_spacer1/Reprolysin_5/ADAMTS_CR_2/Reprolysin_3/TSP_1/Reprolysin_2/TSP1_ADAMTS/ADAMTS_CR_3/Reprolysin_4/TSP1_spondin
FBgn0029795,DUF753
FBgn0029811,Chitin_bind_4
FBgn0029814,Lectin_C
FBgn0029807,Peptidase_M14/Propep_M14
FBgn0029804,Peptidase_M14/Propep_M14
FBgn0046687,7tm_1/7TM_GPCR_Srsx/7TM_GPCR_Srx
FBgn0029826,Trypsin
FBgn0052755,Trypsin
FBgn0029827,Trypsin
FBgn0029828,Trypsin
