Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD
UP000005640	Homo sapiens (Human)	9606	80581	C:99.5%[S:38.5%,D:61.1%],F:0.0%,M:0.4%,n:13780	Outlier (high value)
UP000000589	Mus musculus (Mouse)	10090	55311	C:99.7%[S:51.2%,D:48.5%],F:0.0%,M:0.2%,n:13798	Outlier (high value)
UP000000803	Drosophila melanogaster (Fruit fly)	7227	22071	C:100.0%[S:41.8%,D:58.2%],F:0.0%,M:0.0%,n:3285	Outlier (high value)
UP000002494	Rattus norvegicus (Rat)	10116	47947	C:97.7%[S:46.7%,D:51.0%],F:0.3%,M:2.1%,n:13798	Outlier (high value)
UP000009136	Bos taurus (Bovine)	9913	37510	C:97.0%[S:54.2%,D:42.8%],F:0.9%,M:2.1%,n:13335	Outlier (high value)
UP000000437	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	46691		Standard
UP000001940	Caenorhabditis elegans	6239	26738	C:100.0%[S:74.7%,D:25.3%],F:0.0%,M:0.0%,n:3131	Outlier (high value)
UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	43	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:954	Unknown
UP000000304	Drosophila simulans (Fruit fly)	7240	15361	C:81.1%[S:80.6%,D:0.5%],F:6.9%,M:12.0%,n:3285	Outlier (high value)
UP000000305	Daphnia pulex (Water flea)	6669	30137	C:94.7%[S:93.2%,D:1.5%],F:2.0%,M:3.4%,n:1013	Unknown
UP000000311	Camponotus floridanus (Florida carpenter ant)	104421	14787	C:89.8%[S:89.2%,D:0.5%],F:4.9%,M:5.4%,n:5991	Standard
UP000000539	Gallus gallus (Chicken)	9031	27529	C:95.1%[S:58.9%,D:36.2%],F:2.0%,M:2.9%,n:8338	Outlier (high value)
UP000000673	Anopheles darlingi (Mosquito)	43151	10553	C:91.6%[S:91.2%,D:0.4%],F:1.6%,M:6.8%,n:3285	Standard
UP000001038	Oryzias latipes (Japanese rice fish) (Japanese killifish)	8090	36128	C:95.9%[S:61.0%,D:34.9%],F:1.0%,M:3.1%,n:3640	Outlier (high value)
