Protein_id,Protein_description,Gene_name,hrp_1,hrp_2,h2o2_1,h2o2_2,t4_1,t4_2,t5_1,t5_2,signal_ratio,fp,tp,tpr,fpr,tpr_fpr,fdr
3797,Inner nuclear membrane protein Man1,MAN1,5.6346,5.7935,2.2983,5.2589,5.6581,5.6,5.7354,5.3627,3.3017,0,0,0.0,0.0,0.0,0.0
1239,LP01981p;Transmembrane emp24 domain-containing protein eca,eca;p24-2,6.4245,7.8104,5.4895,7.0084,6.8645,7.7,6.846,7.0468,2.2105000000000006,0,0,0.0,0.0,0.0,0.0
3419,Protein Wnt-5;Protein Wnt (Fragment);Protein Wnt,Wnt5,6.01,5.8563,3.8273,5.5449,5.9993,6.0297,5.9989,6.3073,2.2024,0,0,0.0,0.0,0.0,0.0
2689,"Uncharacterized protein, isoform B;Zinc finger CCCH domain-containing protein 15 homolog",CG8635;Dmel\CG8635,6.3735,6.7564,4.3544,6.5522,6.552,6.52,5.8883,6.1789,2.1655999999999995,0,0,0.0,0.0,0.0,0.0
FBgn0261674,"RT10135p (Fragment);LD45603p;Uncharacterized protein, isoform D",CG17667-RB;EP(3)3622;EP3622,7.4538,7.1229,6.0134,6.8212,8.1297,8.1415,7.7111,7.785,2.1281000000000008,0,1,0.0020325203252032522,0.0,0.0020325203252032522,0.0
FBgn0036926,"Uncharacterized protein, isoform A",BcDNA:RH69723;Dmel\CG7646,6.5316,6.0116,4.7324,6.0054,6.7216,6.8004,6.3353,6.8254,2.0679999999999996,0,0,0.0020325203252032522,0.0,0.0020325203252032522,0.0
3050,Actin-related protein 2/3 complex subunit 5,Arpc5,6.2119,6.4418,4.324,6.2674,6.0499,6.2076,5.9693,6.1182,1.8836000000000004,0,0,0.0020325203252032522,0.0,0.0020325203252032522,0.0
FBgn0013303,Neurocalcin homolog,Nca,6.7977,6.5801,5.1557,6.5083,6.9711,7.029,6.8371,7.0571,1.8732999999999995,0,0,0.0020325203252032522,0.0,0.0020325203252032522,0.0
836,"Eye-enriched kainate receptor, isoform D;Eye-enriched kainate receptor, isoform B",CG9935-RA;Ekar,7.0775,7.6159,5.7972,7.0791,7.5334,7.6193,7.2999,7.3055,1.8220999999999998,0,0,0.0020325203252032522,0.0,0.0020325203252032522,0.0
3376,GH20840p,Dmel\CG11407,5.8515,5.0337,4.5898,5.4867,6.2503,6.398,6.1106,6.0707,1.8081999999999994,0,0,0.0020325203252032522,0.0,0.0020325203252032522,0.0
2297,LP04475p,dMEMO,6.2461,6.751,5.0092,6.3172,6.7243,6.8003,6.4653,6.3753,1.7911000000000001,0,0,0.0020325203252032522,0.0,0.0020325203252032522,0.0
FBgn0026373,GH07456p,Rpb3,6.4149,5.6595,5.3742,6.2573,7.0074,7.1528,6.3316,6.3833,1.7786,1,0,0.0020325203252032522,0.0015432098765432098,0.0004893104486600425,0.0008771929824561404
FBgn0031830,"RH49324p (Fragment);Cytochrome c oxidase subunit 5B, isoform A",COX5B,7.3649,7.2535,5.6699,7.3095,7.4892,7.4467,7.1709,7.5944,1.7767999999999997,1,0,0.0020325203252032522,0.0030864197530864196,-0.0010538994278831673,0.0017543859649122807
FBgn0260855,"Secretory 22, isoform B;EG:34F3.8 protein",Sec22,5.6103,6.4626,4.745,6.4852,6.4303,6.5094,6.0039,6.0196,1.7644000000000002,0,0,0.0020325203252032522,0.0030864197530864196,-0.0010538994278831673,0.0017543859649122807
3340,"Dystrophin, isoform D",Dys,5.9204,4.8801,4.6743,5.6605,6.3849,6.4384,5.957,6.0902,1.7641,0,0,0.0020325203252032522,0.0030864197530864196,-0.0010538994278831673,0.0017543859649122807
3811,FI07206p,PNKP,5.0814,4.4638,4.2547,5.116,5.9447,6.0059,5.0034,4.8864,1.7511999999999999,0,0,0.0020325203252032522,0.0030864197530864196,-0.0010538994278831673,0.0017543859649122807
FBgn0259214,Calcium-transporting ATPase,CG2165-RC;PMCA,6.2588,6.9068,5.3016,6.9858,6.9774,7.0422,7.0342,6.7992,1.7406000000000006,0,1,0.0040650406504065045,0.0030864197530864196,0.000978620897320085,0.0017543859649122807
3689,"Ubiquitin carboxyl-terminal hydrolase 32;Ubiquitin carboxyl-terminal hydrolase 32, Isoform C;Ubiquitin carboxyl-terminal hydrolase 32, Isoform D;Ubiquitin carboxyl-terminal hydrolase 32, Isoform E",Usp32,5.0645,5.7576,4.1056,5.8692,5.7861,5.8462,5.483,5.2607,1.7405999999999997,0,0,0.0040650406504065045,0.0030864197530864196,0.000978620897320085,0.0017543859649122807
FBgn0027873,Probable cleavage and polyadenylation specificity factor subunit 2,Cpsf100,5.7462,6.2065,4.5751,6.3941,6.1883,6.3137,5.9215,6.6127,1.7386,0,0,0.0040650406504065045,0.0030864197530864196,0.000978620897320085,0.0017543859649122807
3186,26S proteasome non-ATPase regulatory subunit 8,Rpn12,5.9296,6.2833,4.5466,6.1547,6.2643,6.2801,5.6554,5.86,1.7335000000000003,0,0,0.0040650406504065045,0.0030864197530864196,0.000978620897320085,0.0017543859649122807
FBgn0032210,"Cylindromatosis, isoform D;RE64280p",CYLD,6.0707,6.1606,4.3991,6.3137,6.0818,6.1304,5.9592,5.9964,1.7313,0,0,0.0040650406504065045,0.0030864197530864196,0.000978620897320085,0.0017543859649122807
FBgn0083975,"Neuroligin 4, isoform F;GH07829p;Neuroligin 4, isoform B",Nlg4,6.6344,6.71,5.2434,6.3978,6.8561,6.9556,6.6795,7.0236,1.7121999999999993,0,1,0.006097560975609756,0.0030864197530864196,0.0030111412225233367,0.0017543859649122807
FBgn0038072,RE14195p,Dmel\CG6225,6.0762,6.6604,4.9922,6.5454,6.7115,6.7018,6.4711,6.2166,1.7096,0,1,0.008130081300813009,0.0030864197530864196,0.005043661547726589,0.0017543859649122807
3578,Probable 6-phosphogluconolactonase,CG17333,6.0802,5.7505,3.9446,5.7637,5.6019,5.65,5.5601,6.1185,1.7054000000000005,0,0,0.008130081300813009,0.0030864197530864196,0.005043661547726589,0.0017543859649122807
FBgn0061359,Mevalonate kinase,CG16804,5.9553,6.4209,4.754,6.5969,6.3385,6.4462,6.1611,6.25,1.6922000000000006,0,0,0.008130081300813009,0.0030864197530864196,0.005043661547726589,0.0017543859649122807
2869,"Bruchpilot, isoform K",brp;brp-RF;CG12932;CG12933,6.0962,6.322,4.6696,6.1361,6.3628,6.3609,6.4305,5.9341,1.6913,0,0,0.008130081300813009,0.0030864197530864196,0.005043661547726589,0.0017543859649122807
FBgn0010414,Transporter;Transporter;Sodium-dependent serotonin transporter,SerT,5.8548,6.3443,4.9096,6.3584,6.5166,6.592,6.6519,6.2381,1.6823999999999995,0,1,0.01016260162601626,0.0030864197530864196,0.00707618187292984,0.0017543859649122807
FBgn0044826,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase,Pak3,5.5161,6.1189,4.5207,5.6664,6.0844,6.1874,5.6428,5.4244,1.6667000000000005,1,0,0.01016260162601626,0.004629629629629629,0.0055329719963866306,0.002631578947368421
FBgn0031998,GH19970p,SLC5A11,5.9481,6.4462,4.8031,6.5347,6.4108,6.4662,6.5915,6.1051,1.6631,0,0,0.01016260162601626,0.004629629629629629,0.0055329719963866306,0.002631578947368421
FBgn0261804,Dipeptidase;Dipeptidase,CG31746;CG31786;CG7198,6.8702,6.6394,5.2979,6.58,6.9885,6.9609,6.8378,6.8026,1.6629999999999994,0,1,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
FBgn0033713,"Uncharacterized protein, isoform A;LD03464p (Fragment)",CG8841;Dmc1,6.6452,7.1103,5.3591,6.9811,6.9521,7.0128,6.5222,6.5283,1.6537000000000006,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
3026,"Uncharacterized protein, isoform D;Uncharacterized protein, isoform B;LD44216p",cg4266;CG4266,6.1069,6.1166,4.6292,6.1866,6.2073,6.2772,5.7859,6.3462,1.6479999999999997,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
2916,"Cd GTPase activating protein-related, isoform C;Cd GTPase activating protein-related, isoform B;Cd GTPase activating protein-related, isoform D;GTPase-activating protein CdGAPr",CdGAPr,6.344,6.1606,4.5696,6.1507,6.1749,6.2137,6.0866,6.4165,1.6441,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
3847,"Palmitoyltransferase app;Palmitoyltransferase app, Isoform S",app,4.8299,5.3183,3.466,5.3775,5.1491,5.1059,4.895,4.9488,1.6399,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
3210,RH44902p;FI04439p,TBC1D16,5.7246,6.1648,4.5387,6.0984,6.2038,6.1776,5.7828,6.0962,1.6388999999999996,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
2367,Chloride channel protein,ClC-b,5.9907,6.7155,4.9888,6.552,6.6205,6.618,6.4957,6.5017,1.6292,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
3762,GH28815p,Dmel\CG33722,5.5459,5.1567,3.9519,5.6515,5.4947,5.5756,5.1858,5.5363,1.6236999999999995,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
1603,"Fas-associated factor;Fas-associated factor 2, isoform A",Faf2,6.4268,7.0439,5.3638,7.1016,7.0306,6.9847,6.726,6.7586,1.6208999999999998,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
2767,LD36772p,Dmel\CG4612,6.5427,6.3986,4.6139,6.2735,6.1626,6.2326,6.3131,6.2917,1.6186999999999996,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
3604,Fatty acyl-CoA reductase;Fatty acyl-CoA reductase;Fatty acyl-CoA reductase;Fatty acyl-CoA reductase;Fatty acyl-CoA reductase,CG18680;CG2858;CG30427;CG30427-RC;Dmel\CG30427,5.6594,4.9451,4.6902,5.6085,6.3241,6.3044,5.7367,4.9781,1.6142000000000003,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
3200,"Mitochondrial fission 1 protein;Mitochondrial fission 1 protein, Isoform E;Mitochondrial fission 1 protein, Isoform D;Mitochondrial fission 1 protein, Isoform A",Fis1,5.7781,4.5548,4.8566,6.4947,6.5413,6.4692,6.0158,6.1668,1.6125999999999996,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
3341,Kinesin-like protein,Kif3C,5.1019,6.3818,4.9644,6.5235,6.6028,6.5748,5.0605,4.7954,1.6103999999999994,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
FBgn0031882,RE14786p,Rab30,7.5899,8.0884,6.422,8.1643,7.9761,8.0228,7.8124,8.3284,1.6008000000000004,0,0,0.012195121951219513,0.004629629629629629,0.007565492321589883,0.002631578947368421
FBgn0250850,Protein rigor mortis,rig,5.6277,6.3015,4.5606,6.3513,6.1975,6.1537,5.9356,5.8331,1.5930999999999997,1,0,0.012195121951219513,0.006172839506172839,0.0060222824450466735,0.0035087719298245615
