Leading protein IDs	Protein name	Gene name	Protein ID	Name	id	MW(kDa)	Coverage_T4T5 (%)	Peptide_count_T4T5	Peptide_ids_T4T5	Evidence_count_T4T5	Evidence_ids_T4T5	Spectral_count_T4T5	Spectrum_ids_T4T5	log10(expression)_original_T4T5	log10(expression)_normalized_T4T5	log10(expression)_imputed_T4T5	log2(ratio)_original_T4T5	log2(ratio)_normalized_T4T5	log2(ratio)_imputed_T4T5	Enriched - T4T5
CON__P15636	Protease 1		CON__P15636	API	868	68.125	11.8	9	231;232;466;478;2222;2296;2297;2298;2772	20	323;324;328;329;729;730;731;732;733;734;741;3810;3811;3812;3930;3931;3932;3935;4776;4777	29	296;297;298;301;302;660;661;662;663;664;665;666;667;668;673;3597;3598;3599;3600;3601;3707;3708;3709;3710;3711;3713;4516;4517;4518	9.96983033429345	9.8133130580712	9.8133130580712	-0.131332070146333	-1.54774364371967	-1.54774364371967	0
CON__P22629	Streptavidin		CON__P22629	SAV	866	18.834	43.2	14	1280;1282;1283;1284;1842;1844;1854;1855;1956;1957;2414;3040;3041;3135	116	2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2094;2095;2098;2100;3124;3125;3126;3127;3128;3129;3130;3131;3132;3133;3134;3135;3136;3137;3138;3139;3144;3147;3148;3149;3150;3151;3152;3153;3154;3155;3156;3157;3158;3159;3160;3161;3162;3163;3164;3165;3171;3172;3173;3174;3175;3340;3343;3344;4149;4150;4151;4152;4153;4154;4155;4156;4157;4160;4161;4162;4163;4164;4165;4166;4167;4168;4169;5220;5221;5222;5223;5224;5225;5226;5227;5228;5229;5230;5231;5232;5233;5234;5235;5236;5237;5239;5385;5386;5387;5388;5389	110	1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1981;1982;1983;1984;1985;1989;1990;2983;2984;2985;2986;2987;2988;2989;2990;2991;2992;2993;2994;2995;2996;2997;2998;2999;3000;3001;3002;3003;3004;3005;3010;3018;3019;3020;3021;3022;3174;3930;3931;3932;3933;3934;3935;3936;3937;3938;3939;3940;3941;3942;3943;3944;4947;4948;4949;4950;4951;4952;4953;4954;4955;4956;4957;4958;4959;4960;4961;4962;4963;4964;4965;4966;4968;5130;5131;5132;5133	9.74514872199903	9.58863144577678	9.58863144577678	-3.01525340257878	-4.43166497615211	-4.43166497615211	0
M9NGG5;Q9W596	Futsch, isoform F;Microtubule-associated protein futsch	FUTSCH	M9NGG5;Q9W596;A4IJ78;A8E6R6;A4IJ78;A8E6R6	M9NGG5;FUTSC	9	592.078	5.1	22	112;296;572;583;597;659;739;902;1174;1246;2029;2094;2247;2331;2343;2392;2420;2715;2753;2780;2950;2998	22	126;439;879;895;918;1017;1164;1432;1845;1972;3460;3562;3847;3989;4007;4087;4179;4682;4744;4790;5055;5140	20	115;399;797;810;829;1052;1697;1831;3284;3379;3636;3767;3783;3849;3953;4430;4486;4532;4766;4848	9.36983881566547	9.21332153944322	9.21332153944322	0.586467902764364	-0.82994367080897	-0.82994367080897	0
Q26365-2;X2JB48	ADP,ATP carrier protein, Isoform A;Stress-sensitive B, isoform E	ANT2;SESB;SESB-RD	Q26365-2;X2JB48;D1Z385;Q26365;O62526;D1Z385;Q26365;O62526	ADT;X2JB48	21	32.909	57.2	18	11;276;366;367;605;705;904;972;1000;1002;1004;1043;2111;2202;2253;2475;3054;3058	24	401;556;557;558;560;931;1103;1434;1435;1536;1586;1588;1591;1646;3587;3588;3771;3867;4275;4276;5264;5269;5270;5271	35	361;499;500;501;503;504;505;840;995;1315;1316;1404;1445;1447;1450;1451;1499;3401;3402;3403;3563;3650;3651;4048;4049;4050;4992;4998;4999;5000;5001;5002;5003;5004;5005	9.32866292383478	9.17214564761253	9.17214564761253	2.35992959734581	0.943518023772477	0.943518023772477	0
H1ZY88;H1ZY91;P91634	Uncharacterized protein Pi3K92E;Uncharacterized protein Pi3K92E;PI-3 kinase	PI3K92E	H1ZY88;H1ZY91;P91634	H1ZY88;H1ZY91;P91634	692	127.055	1.1	1	2608	1	4494	0		9.25044440018997	9.09392712396772	9.09392712396772	-2.3531153486785	-3.76952692225184	-3.76952692225184	0
CON__P00761	Trypsin		CON__P00761	TRYP	864	24.409	25.1	12	1230;1232;1235;1236;1237;1505;1506;1507;1508;1722;1723;2698	28	1937;1938;1939;1940;1952;1953;1956;1958;1959;2487;2488;2489;2490;2491;2495;2500;2501;2502;2503;2857;2858;2859;2861;4651;4652;4653;4654;4655	42	1788;1789;1790;1791;1792;1793;1811;1812;1813;1816;1818;1819;2336;2337;2338;2339;2340;2341;2342;2343;2344;2345;2346;2347;2353;2354;2355;2356;2357;2358;2359;2360;2681;2682;2684;4398;4399;4400;4401;4402;4403;4404	9.21101354775192	9.05449627152967	9.05449627152967	-3.13442191327505	-4.55083348684839	-4.55083348684839	0
CON__P35527	Keratin, type I cytoskeletal 9	KRT12;KRT9	CON__P35527;CON__Q99456	K1C9	859	62.064	41.6	28	17;36;396;464;470;471;472;595;625;796;867;943;944;1084;1294;1420;1831;2025;2119;2125;2126;2207;2416;2551;2559;2903;2904;2905	42	600;601;710;711;715;716;718;915;963;1254;1255;1256;1375;1491;1494;1715;1716;1717;2114;2339;2340;2341;2344;3036;3037;3454;3455;3610;3621;3622;3624;3627;3779;3782;4173;4396;4397;4409;4983;4984;4986;4988	45	542;543;640;641;644;645;870;871;1138;1139;1140;1141;1261;1365;1367;1566;1567;1568;1569;1570;1571;1572;2005;2204;2205;2206;2825;2826;2827;3278;3279;3422;3432;3433;3435;3437;3569;3571;3947;4157;4158;4167;4700;4701;4703	9.1234105918625	8.96689331564025	8.96689331564025	-0.521015723964965	-1.9374272975383	-1.9374272975383	0
Q7KN97	Pyruvate carboxylase	;PCB	Q7KN97;Q6NKL9	Q7KN97	1	130.863	57.6	65	49;50;67;74;94;131;132;135;167;168;294;317;450;515;565;629;660;662;669;686;741;742;754;824;837;851;909;988;1063;1081;1088;1182;1320;1382;1385;1446;1465;1466;1585;1601;1602;1695;1806;1830;1838;1840;2035;2250;2271;2285;2422;2440;2580;2648;2670;2676;2758;2759;2778;2818;2951;2965;2974;2976;3150	120	18;20;23;24;25;49;63;64;101;162;163;166;167;168;170;177;178;225;230;231;436;483;684;798;799;870;968;1021;1022;1024;1037;1038;1074;1075;1172;1173;1174;1175;1177;1193;1194;1300;1321;1322;1343;1344;1345;1441;1442;1564;1565;1681;1682;1708;1726;1727;1728;1858;2159;2257;2261;2386;2411;2413;2629;2650;2651;2655;2812;2813;2814;2985;2987;3029;3031;3471;3472;3473;3855;3856;3892;3893;3913;4185;4218;4219;4220;4443;4444;4445;4554;4555;4556;4592;4593;4594;4605;4606;4607;4608;4609;4755;4756;4788;4855;4856;4857;4860;4861;5059;5083;5084;5097;5098;5099;5100;5102;5103;5410;5411	127	16;19;20;21;42;54;55;56;92;153;154;155;156;163;170;171;208;213;214;396;435;617;721;722;787;876;919;920;922;935;936;967;1063;1064;1065;1068;1069;1070;1084;1183;1184;1205;1206;1228;1229;1322;1323;1426;1427;1529;1557;1558;1559;1586;1587;1588;1589;1590;1710;2042;2126;2131;2242;2266;2267;2472;2473;2494;2495;2496;2497;2498;2641;2642;2643;2786;2819;3299;3300;3301;3302;3303;3304;3305;3306;3643;3644;3675;3676;3693;3958;3993;3994;3995;4206;4207;4208;4304;4305;4306;4307;4341;4342;4352;4353;4496;4497;4530;4592;4593;4594;4595;4771;4796;4810;4811;4812;4813;4814;4815;4816;4817;4818;4820;4821;5156;5157	9.03410976557514	8.87759248935289	8.87759248935289	-2.15813168338305	-3.57454325695639	-3.57454325695639	0
CON__P04264	Keratin, type II cytoskeletal 1	KRT1	CON__P04264	K2C1	861	66.039	32.8	27	20;90;504;540;835;1408;1613;1629;1630;1631;1632;1948;2135;2230;2265;2289;2317;2326;2344;2346;2353;2521;2552;2573;2574;3044;3045	46	92;93;782;784;833;834;1315;1316;2307;2308;2310;2311;2671;2692;2693;2699;2700;2701;3322;3323;3643;3644;3645;3825;3826;3882;3919;3962;3975;3976;3977;3978;3979;3980;3983;4012;4014;4016;4027;4355;4399;4432;4435;5243;5244;5247	48	82;83;84;707;753;754;1198;1199;2174;2175;2176;2177;2179;2180;2518;2536;2537;2542;3158;3159;3160;3452;3453;3454;3614;3615;3665;3699;3738;3739;3753;3754;3755;3756;3757;3758;3759;3760;3761;3787;3797;4121;4160;4161;4195;4197;4972;4973	8.99917082290324	8.84265354668099	8.84265354668099	-0.646646481026536	-2.06305805459987	-2.06305805459987	0
A0A0B4KGG8;E1JIR4;H9ZJM5;P13607;P13607-2;P13607-4;P13607-5;P13607-6;P13607-7	Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha, Isoform 2;Sodium/potassium-transporting ATPase subunit alpha, Isoform 4;Sodium/potassium-transporting ATPase subunit alpha, Isoform 5;Sodium/potassium-transporting ATPase subunit alpha, Isoform 6;Sodium/potassium-transporting ATPase subunit alpha, Isoform 7	;ATPALPHA;ATPALPHA-RA;ATPALPHA-RC;ATPALPHA-RD;JYALPHA;K+ ATPASE ALPHA SUBUNIT	A0A0B4KGG8;E1JIR4;H9ZJM5;P13607;P13607-2;P13607-4;P13607-5;P13607-6;P13607-7;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458;B5RIT8;C8VUY7;E6PBW0;I7J4E4;P13607-3;A4IJ54;A8QI34;Q9U458	A0A0B4KGG8;E1JIR4;H9ZJM5;ATNA;ATNA;ATNA;ATNA;ATNA;ATNA	3	111.133	45.6	48	12;61;63;77;92;303;384;522;552;553;691;693;758;806;852;859;860;880;900;1131;1135;1319;1379;1548;1642;1734;1807;1808;1843;1916;1917;1925;1950;1960;2090;2091;2112;2225;2428;2429;2430;2514;2720;2815;2833;2840;3076;3119	70	40;43;67;97;458;459;460;579;809;810;851;852;1085;1086;1088;1198;1270;1347;1348;1362;1363;1394;1395;1428;1429;1787;1788;1793;1794;2158;2252;2253;2568;2718;2881;2989;2991;2992;3266;3268;3284;3285;3325;3326;3347;3553;3554;3555;3593;3594;3596;3598;3816;4195;4196;4197;4200;4201;4338;4339;4690;4843;4844;4845;4846;4879;4890;5291;5292;5356	71	34;36;59;88;414;415;524;730;731;770;771;976;977;979;1088;1154;1232;1233;1234;1235;1236;1248;1249;1281;1282;1310;1311;1646;1647;1652;1653;2040;2041;2121;2122;2417;2557;2702;2789;2791;3105;3106;3108;3125;3161;3162;3179;3372;3373;3374;3408;3409;3411;3605;3968;3969;3970;3973;3974;4102;4103;4440;4441;4579;4580;4581;4582;4623;5024;5025;5081	8.9880414190649	8.83152414284265	8.83152414284265	2.11158255923539	0.695170985662061	0.695170985662061	0
